frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,shoulder_amp_th,shoulder_noise_sigma,shoulder_amp_ewma,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0.0,1,0.8785224556922913,39.01286399923265,0,0.0,IDLE,True,,,,,,,,,,,,897.5631713867188,,654.0239868164062,False,1884,476,2172,1312
0,0.0,2,0.7669565081596375,39.01286399923265,0,0.0,IDLE,True,,,,,,,,,,,,859.5703125,,616.682861328125,False,1117,430,1445,1316
1,0.04,1,0.8681442737579346,32.446777913719416,0,0.0,IDLE,True,,,,,,,,,,,,897.7330322265625,,654.6920166015625,False,1884,477,2172,1310
1,0.04,2,0.791365385055542,32.446777913719416,0,0.0,IDLE,True,,,,,,,,,,,,860.4161376953125,,616.8139038085938,False,1115,433,1441,1326
2,0.08,1,0.8698458075523376,28.38470204733312,0,0.0,IDLE,True,,,,,,,,,,,,896.9749755859375,,654.7850952148438,False,1882,476,2172,1309
2,0.08,2,0.7806318402290344,28.38470204733312,0,0.0,IDLE,True,,,,,,,,,,,,862.8482666015625,,618.3958129882812,False,1115,431,1442,1337
3,0.12,2,0.8092935085296631,28.32254604436457,0,0.0,IDLE,True,,,,,,,,,,,,862.5826416015625,,617.7149658203125,False,1117,431,1443,1337
3,0.12,1,0.8650802969932556,28.32254604436457,0,0.0,IDLE,True,,,,,,,,,,,,895.2279052734375,,654.4449462890625,False,1883,475,2173,1313
4,0.16,1,0.8762162327766418,29.042046982795,0,0.0,IDLE,True,,,,,,,,,,,,895.655517578125,,654.4010009765625,False,1882,476,2172,1310
4,0.16,2,0.762237548828125,29.042046982795,0,0.0,IDLE,True,,,,,,,,,,,,859.8992919921875,,615.8223266601562,False,1118,433,1446,1319
5,0.2,1,0.8679853081703186,28.014403069391847,0,0.0,IDLE,True,,,,,,,,,,,,897.511474609375,,654.99853515625,False,1884,476,2173,1311
5,0.2,2,0.8224751949310303,28.014403069391847,0,0.0,IDLE,True,,,,,,,,,,,,857.6361083984375,,614.55712890625,False,1118,432,1445,1333
6,0.24,1,0.8698136806488037,27.942716144025326,0,0.0,IDLE,True,,,,,,,,,,,,898.0830078125,,654.9156494140625,False,1884,477,2172,1312
7,0.28,1,0.8754274845123291,27.82375901006162,0,0.0,IDLE,True,,,,,,,,,,,,897.997314453125,,654.177734375,False,1884,477,2172,1309
7,0.28,2,0.7796214818954468,27.82375901006162,0,0.0,IDLE,True,,,,,,,,,,,,858.52099609375,,614.9395141601562,False,1118,431,1444,1328
8,0.32,1,0.8708078861236572,27.554417960345745,0,0.0,IDLE,True,,,,,,,,,,,,897.578857421875,,654.2586059570312,False,1884,477,2172,1311
8,0.32,2,0.8370310068130493,27.554417960345745,0,0.0,IDLE,True,,,,,,,,,,,,859.66357421875,,615.1586303710938,False,1117,429,1442,1333
9,0.36,1,0.8667830228805542,28.109299018979073,0,0.0,IDLE,True,,,,,26.636943054199218,0.3902864868164062,,,8.324044704437256,0.6955116943359375,898.1123657226562,898.376708984375,654.9239501953125,654.615234375,False,1884,475,2172,1307
9,0.36,2,0.766182005405426,28.109299018979073,0,0.0,IDLE,True,,,,,,,,,,,,861.3590087890625,,615.2462158203125,False,1118,431,1443,1314
10,0.4,1,0.8694943189620972,28.091300977393985,0,0.0,IDLE,True,,,,,26.826826629638674,0.3663064453125,,,8.383383321762086,0.747453369140625,898.376708984375,899.1051635742188,654.9156494140625,654.4228515625,False,1883,474,2174,1313
10,0.4,2,0.7941023111343384,28.091300977393985,0,0.0,IDLE,True,,,,,28.597631835937502,1.1652942810058593,,,8.936759948730469,1.6246251892089842,862.6091918945312,861.1480102539062,617.7830200195312,614.9429931640625,False,1117,433,1444,1326
