frame_idx,timestamp,infer_ms,track_id,best_conf,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,center_x,center_y,h_px,missed
0,0.0,39.153781021013856,1,0.8255341053009033,0,0.0,IDLE,,,,,,,,,853.0018310546875,,600.7147216796875,False,1294.4075927734375,796.4697265625,1075.77197265625,0
0,0.0,39.153781021013856,2,0.8068614602088928,0,0.0,IDLE,,,,,,,,,892.9298095703125,,657.3220825195312,False,2037.009765625,891.0258178710938,857.2135620117188,0
0,0.0,39.153781021013856,3,0.709800124168396,0,0.0,IDLE,,,,,,,,,872.65869140625,,625.0858154296875,False,544.1985473632812,810.9733276367188,977.8750610351562,0
1,0.04,32.427574042230844,1,0.8295968770980835,0,0.0,IDLE,,,,,,,,,853.3485107421875,,602.0498046875,False,1291.16796875,804.60302734375,1076.9764404296875,0
1,0.04,32.427574042230844,2,0.8459344506263733,0,0.0,IDLE,,,,,,,,,893.0701904296875,,657.7222900390625,False,2037.021240234375,893.8720092773438,865.7869262695312,0
1,0.04,32.427574042230844,3,0.7195187211036682,0,0.0,IDLE,,,,,,,,,872.8777465820312,,626.046142578125,False,543.4473876953125,817.6666259765625,976.540283203125,0
2,0.08,28.100783936679363,1,0.8239331245422363,0,0.0,IDLE,,,,,,,,,850.7027587890625,,599.0392456054688,False,1290.219482421875,799.4910888671875,1077.78564453125,0
2,0.08,28.100783936679363,2,0.818372368812561,0,0.0,IDLE,,,,,,,,,893.4822998046875,,657.3839721679688,False,2035.690673828125,889.094482421875,856.2305908203125,0
2,0.08,28.100783936679363,3,0.7329360842704773,0,0.0,IDLE,,,,,,,,,872.0069580078125,,624.2235107421875,False,543.6541137695312,816.443359375,976.8070678710938,0
3,0.12,29.567609075456858,1,0.805179238319397,0,0.0,IDLE,,,,,,,,,852.1591796875,,599.875,False,1291.75927734375,802.5181274414062,1083.540283203125,0
3,0.12,29.567609075456858,2,0.8334051966667175,0,0.0,IDLE,,,,,,,,,892.9395751953125,,657.386962890625,False,2037.6552734375,888.2742919921875,857.1472778320312,0
3,0.12,29.567609075456858,3,0.7221835851669312,0,0.0,IDLE,,,,,,,,,872.1547241210938,,625.083740234375,False,542.80126953125,817.4713745117188,976.1273193359375,0
4,0.16,28.24727795086801,1,0.8048685193061829,0,0.0,IDLE,,,,,,,,,853.956298828125,,600.95556640625,False,1291.459716796875,799.7108154296875,1079.8641357421875,0
4,0.16,28.24727795086801,2,0.8299164175987244,0,0.0,IDLE,,,,,,,,,894.3701782226562,,657.9786987304688,False,2037.5672607421875,888.051025390625,858.598876953125,0
4,0.16,28.24727795086801,3,0.7465132474899292,0,0.0,IDLE,,,,,,,,,872.510009765625,,624.87109375,False,540.0093994140625,819.5858764648438,962.1065673828125,0
5,0.2,32.35362912528217,1,0.7935211658477783,0,0.0,IDLE,,,,,,,,,856.6575317382812,,602.3592529296875,False,1291.2154541015625,802.7272338867188,1074.98095703125,0
5,0.2,32.35362912528217,2,0.8161916732788086,0,0.0,IDLE,,,,,,,,,894.3194580078125,,658.1221313476562,False,2038.411865234375,887.7525634765625,857.5087280273438,0
