frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,ankle_distance,is_airborne
0,0.0,0.9165117144584656,17.383014783263206,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
1,0.04,0.910759687423706,12.147942092269659,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
2,0.08,0.9025073647499084,11.985233053565025,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,234.81680297851562,,150.2952880859375,30.18070411682129,False
3,0.12,0.9024336934089661,11.152994353324175,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,234.0072784423828,,149.23928833007812,31.683940887451172,False
4,0.16,0.9011740684509277,12.116729281842709,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,234.74533081054688,,150.06185913085938,31.882522583007812,False
5,0.2,0.9006699919700623,11.25838328152895,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,234.25445556640625,,149.40521240234375,31.805797576904297,False
6,0.24,0.8975354433059692,12.094954028725624,0,0,0,single,0.0,IDLE,False,,,,,,,,,234.28573608398438,,149.33694458007812,31.554128646850586,False
7,0.28,0.8929327130317688,13.376228045672178,0,0,0,single,0.0,IDLE,False,,,,,,,,,234.3219451904297,,149.39700317382812,31.615814208984375,False
8,0.32,0.9002794623374939,14.983952045440674,0,0,0,single,0.0,IDLE,False,,,,,,,,,234.3553466796875,,149.35092163085938,31.46920394897461,False
9,0.36,0.9084312319755554,11.183540802448988,0,0,0,single,0.0,IDLE,False,,,,,,,,,234.67703247070312,,149.35105895996094,30.280231475830078,False
10,0.4,0.9104920625686646,12.153272982686758,0,0,0,single,0.0,IDLE,False,,,,,,,,,235.1363067626953,,149.71743774414062,28.932567596435547,False
11,0.44,0.9340384602546692,11.001568287611008,0,0,0,single,0.0,IDLE,False,,,,,,4.0,0.36485859374999996,235.16294860839844,235.40267944335938,150.085205078125,149.9381103515625,26.61737060546875,False
12,0.48,0.9106638431549072,12.10078690201044,0,0,0,single,0.0,IDLE,False,,,,,,4.0,0.5801360229492187,235.40267944335938,236.53994750976562,150.06185913085938,149.6472625732422,25.19525909423828,False
13,0.52,0.7905533909797668,10.929576121270657,0,0,0,single,0.0,IDLE,False,,,,,,4.0,0.6305280441284179,236.4262237548828,237.10165405273438,150.0494842529297,149.46453857421875,25.33817481994629,False
14,0.56,0.9116880297660828,12.249942403286695,0,0,0,single,0.0,IDLE,False,,,,,,4.0,0.6813951416015624,236.98931884765625,237.1976318359375,150.037109375,149.1392059326172,24.432214736938477,False
15,0.6,0.9347666501998901,11.417474132031202,0,0,0,single,0.0,IDLE,False,,,,,,4.0,0.7575657073974609,237.0364990234375,236.88449096679688,150.0247344970703,148.72332763671875,24.045080184936523,False
16,0.64,0.9145628213882446,12.174096889793873,0,0,0,double,0.0,IDLE,False,,,,,,4.0,0.8337362731933593,237.15924072265625,237.32302856445312,150.01235961914062,148.24578857421875,25.173490524291992,False
17,0.68,0.9189597964286804,11.014310643076897,0,0,0,double,0.0,IDLE,False,,,,,,4.0,1.0474074920654297,237.1540985107422,237.11056518554688,149.99998474121094,148.0465087890625,25.18739891052246,False
18,0.72,0.8810738921165466,12.005900032818317,0,0,0,double,0.0,IDLE,False,,,,,,4.0,1.307432583618164,237.24554443359375,237.31741333007812,149.98760986328125,148.45773315429688,24.47003746032715,False
19,0.76,0.9139450192451477,12.57991325110197,0,0,0,double,0.0,IDLE,False,,,,,,5.064415095520019,1.6881383651733397,237.319091796875,238.14437866210938,149.97523498535156,148.71661376953125,24.662548065185547,False
20,0.8,0.9060258269309998,12.36267015337944,0,0,0,double,0.0,IDLE,False,,,,,,5.107070159912109,1.702356719970703,237.4873046875,238.44723510742188,149.96286010742188,148.6763916015625,25.204036712646484,False
21,0.84,0.9056754112243652,11.249215807765722,0,0,0,double,0.0,IDLE,False,,,,,,5.871942993164062,1.9573143310546874,237.89385986328125,237.86602783203125,149.9504852294922,148.555419921875,24.311748504638672,False
22,0.88,0.919352650642395,12.188265100121498,0,0,0,double,0.0,IDLE,False,,,,,,6.243113314819336,2.081037771606445,237.86602783203125,237.7835693359375,149.9381103515625,148.64779663085938,23.234498977661133,False
23,0.92,0.9227918386459351,11.21825398877263,0,0,0,double,0.0,IDLE,False,,,,,,6.097264892578124,2.0324216308593748,237.9884796142578,238.00209045410156,149.91604614257812,148.8651123046875,23.110681533813477,False
24,0.96,0.9186283946037292,12.046271935105324,0,0,0,double,0.0,IDLE,False,,,,,,5.603728491210937,1.8679094970703123,237.97488403320312,237.81454467773438,149.89398193359375,149.21307373046875,22.749034881591797,False
25,1.0,0.9138410091400146,11.140447109937668,0,0,0,double,0.0,IDLE,False,,,,,,4.804344758605957,1.6014482528686522,237.96127319335938,237.845947265625,149.8719024658203,149.29409790039062,23.405527114868164,False
26,1.04,0.9224509000778198,12.000914197415113,0,0,0,double,0.0,IDLE,False,,,,,,4.399885162353516,1.4666283874511719,238.05535888671875,238.09088134765625,149.84983825683594,149.65301513671875,23.143033981323242,False
