frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,ankle_distance,is_airborne
0,0.0,0.9046251177787781,16.96372590959072,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,198.19268798828125,,104.83287048339844,41.63815689086914,False
1,0.04,0.8918896913528442,12.015016283839941,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,199.80398559570312,,105.27714538574219,42.37312316894531,False
2,0.08,0.8747861385345459,12.152596842497587,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,202.03359985351562,,105.61731719970703,43.50602722167969,False
3,0.12,0.8808045983314514,12.617413885891438,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,202.95960998535156,,105.38911437988281,42.076316833496094,False
4,0.16,0.8550669550895691,11.855640448629856,0,0,0,single,0.0,IDLE,False,,,,,,,,,203.2175750732422,,104.901611328125,39.566802978515625,False
5,0.2,0.6450901031494141,11.291998904198408,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
6,0.24,0.8707729578018188,12.02430296689272,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
7,0.28,0.8672754764556885,11.63271488621831,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
8,0.32,0.9011294841766357,12.60246429592371,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
9,0.36,0.9146490693092346,11.207069270312786,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
10,0.4,0.9080901741981506,11.987387668341398,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
11,0.44,0.9090094566345215,11.021423619240522,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
12,0.48,0.9060794711112976,12.075668666511774,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
13,0.52,0.9162892699241638,11.330954730510712,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
14,0.56,0.9246350526809692,11.883003171533346,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
15,0.6,0.9265487194061279,11.252566706389189,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
16,0.64,0.9224293231964111,12.224783655256033,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
17,0.68,0.918597400188446,11.120550334453583,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
18,0.72,0.9122937917709351,11.812231037765741,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
19,0.76,0.8988732099533081,10.968708898872137,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
20,0.8,0.9091730117797852,11.932433117181063,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
21,0.84,0.8881130814552307,12.183539103716612,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
22,0.88,0.890807032585144,11.743885930627584,0,0,0,single,0.0,IDLE,False,,,,,,,,,202.76898193359375,,104.49593353271484,44.21601104736328,False
23,0.92,0.8848190903663635,10.94406796619296,0,0,0,single,0.0,IDLE,False,,,,,,,,,201.2745361328125,,104.34231567382812,46.805992126464844,False
24,0.96,0.9153619408607483,12.830792926251888,0,0,0,single,0.0,IDLE,False,,,,,,,,,199.49594116210938,,104.14803314208984,43.81021499633789,False
25,1.0,0.9012172222137451,11.083326302468777,0,0,0,single,0.0,IDLE,False,,,,,,,,,198.52105712890625,,104.23507690429688,43.1839485168457,False
26,1.04,0.8934836983680725,11.895232368260622,0,0,0,single,0.0,IDLE,False,,,,,,7.811543765258788,2.6038479217529296,202.98541259765625,199.34164428710938,105.41193389892578,103.94340515136719,40.67975997924805,False
27,1.08,0.8634352684020996,10.990609880536795,0,0,0,single,0.0,IDLE,False,,,,,,7.504848083496094,2.501616027832031,202.95960998535156,201.02896118164062,105.38911437988281,103.82742309570312,39.78356170654297,False
28,1.12,0.5081237554550171,12.047142256051302,0,0,0,single,0.0,IDLE,False,,,,,,6.173209231567382,2.0577364105224607,202.9405517578125,200.58447265625,105.37791442871094,103.31211853027344,43.77138900756836,False
29,1.16,0.8995924592018127,11.34936511516571,0,0,0,single,0.0,IDLE,False,,,,,,6.445427947998047,2.1484759826660156,202.92147827148438,198.97781372070312,105.3667221069336,102.80913543701172,43.44211196899414,False
30,1.2,0.8896005153656006,11.982112191617489,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
31,1.24,0.8791033029556274,10.824272874742746,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
32,1.28,0.9143930673599243,11.876291129738092,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
33,1.32,0.9113422632217407,11.257146019488573,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
34,1.36,0.907108724117279,12.091317679733038,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
35,1.4,0.8861697316169739,11.132056824862957,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.9024200439453,197.2056121826172,105.35552215576172,102.17044067382812,43.80470275878906,False
36,1.44,0.9099332094192505,11.709655169397593,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.88336181640625,196.04483032226562,105.34432983398438,101.90645599365234,40.459739685058594,True
37,1.48,0.9213859438896179,11.170350946485996,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.86428833007812,195.60614013671875,105.3331298828125,101.93241119384766,35.22287368774414,True
38,1.52,0.9214192628860474,11.973734013736248,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.84523010253906,193.95590209960938,105.32192993164062,102.58856964111328,32.70701217651367,True
39,1.56,0.9077607989311218,11.047904845327139,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.826171875,195.43536376953125,105.31073760986328,102.6414794921875,32.05695724487305,True
40,1.6,0.9136376976966858,12.135623954236507,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.80711364746094,195.77334594726562,105.2995376586914,102.70651245117188,33.2734375,True
41,1.64,0.9013553857803345,11.284674983471632,0,0,0,single,0.0,IDLE,False,,,8.832138061523438,3.3818893432617188,,6.426153424072265,2.1420511413574217,202.7880401611328,196.63160705566406,105.28834533691406,102.61263275146484,34.6636848449707,False
42,1.68,0.907369077205658,13.814840000122786,0,0,0,single,0.0,IDLE,False,,,,,,6.426153424072265,2.1420511413574217,202.76898193359375,196.26333618164062,105.27714538574219,102.34771728515625,35.006404876708984,True
43,1.72,0.9011842012405396,11.253769975155592,0,0,0,single,0.0,IDLE,False,,,6.4321136474609375,2.9999771118164062,,6.426153424072265,2.1420511413574217,202.69544982910156,196.62203979492188,105.23959350585938,102.23961639404297,36.81837463378906,False
44,1.76,0.8974885940551758,13.558571226894855,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
45,1.8,0.9084060192108154,11.494875885546207,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
46,1.84,0.8862051367759705,12.587548233568668,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
47,1.88,0.8568918108940125,11.442335788160563,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
48,1.92,0.8192747235298157,12.082795146852732,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
49,1.96,0.8254489302635193,10.942057240754366,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
50,2.0,0.8759713172912598,12.041093781590462,0,0,0,single,0.0,IDLE,False,,,,,,6.818566442871093,2.272855480957031,202.6219024658203,199.29727172851562,105.20204162597656,101.50604248046875,31.889339447021484,False
51,2.04,0.8563917279243469,11.30703929811716,0,0,0,single,0.0,IDLE,False,,,,,,6.853722088623046,2.2845740295410155,202.54837036132812,201.73289489746094,105.16448211669922,101.15665435791016,30.823049545288086,False
52,2.08,0.8862285017967224,12.151628732681274,0,0,0,single,0.0,IDLE,False,,,,,,7.166729498291016,2.3889098327636717,202.47482299804688,201.7069549560547,105.1269302368164,101.19622802734375,25.574539184570312,False
53,2.12,0.7078027129173279,11.26254303380847,0,0,0,single,0.0,IDLE,False,,,,,,6.785989782714843,2.261996594238281,202.4012908935547,201.04315185546875,105.0893783569336,100.66957092285156,31.412353515625,False
54,2.16,0.8792203068733215,12.025948148220778,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
55,2.2,0.8824154138565063,11.216264683753252,0,0,0,single,0.0,IDLE,False,,,,,,6.408643469238282,2.1362144897460937,202.3277587890625,199.9619140625,105.05182647705078,100.36819458007812,33.8423957824707,False
56,2.24,0.9035913944244385,12.637447100132704,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
57,2.28,0.8974806070327759,11.089859064668417,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
58,2.32,0.8967053294181824,12.20449898391962,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
59,2.36,0.9038859605789185,11.21746189892292,0,0,0,single,0.0,IDLE,False,,,,,,7.166729498291016,2.3889098327636717,202.25421142578125,198.02474975585938,105.01427459716797,99.6922607421875,30.022245407104492,False
60,2.4,0.9134860038757324,12.096761725842953,0,0,0,single,0.0,IDLE,False,,,,,,7.166729498291016,2.3889098327636717,202.18067932128906,195.9049072265625,104.97671508789062,98.33638000488281,26.707807540893555,False
61,2.44,0.9168068170547485,11.289907153695822,0,0,0,single,0.0,IDLE,False,,,,,,7.166729498291016,2.3889098327636717,202.1071319580078,194.64071655273438,104.93916320800781,97.64915466308594,24.841142654418945,True
62,2.48,0.9141462445259094,11.788642965257168,0,0,0,single,0.0,IDLE,False,,,,,,7.2271999237060545,2.4090666412353516,202.03359985351562,193.44833374023438,104.901611328125,96.37005615234375,25.53097915649414,True
63,2.52,0.8293828964233398,12.617489788681269,0,0,0,single,0.0,IDLE,False,,,,,,7.2271999237060545,2.4090666412353516,202.00352478027344,192.19558715820312,104.89473724365234,95.23495483398438,25.197277069091797,True
64,2.56,0.8612730503082275,11.8954386562109,0,0,0,single,0.0,IDLE,False,,,,,,7.2271999237060545,2.4090666412353516,201.9734649658203,192.28587341308594,104.88786315917969,93.89491271972656,27.999834060668945,True
65,2.6,0.7624795436859131,11.276808101683855,0,0,0,single,0.0,IDLE,False,,,,,,7.2271999237060545,2.4090666412353516,201.94338989257812,193.5382843017578,104.88098907470703,92.46006774902344,32.96155548095703,True
66,2.64,0.46462979912757874,12.166447006165981,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,,,,0.0,False
