frame_idx,timestamp,track_id,conf,best_conf_seen,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,1,0.893272876739502,0.893272876739502,85.67130001029,889.0440673828125,558.77490234375,0.0,False,103.97940063476562,False,0,0,0,unknown,0.0,0.0,IDLE,,860.6508178710938
0,0.0,2,0.8543194532394409,0.8543194532394409,85.67130001029,872.001953125,536.9140625,0.0,False,80.88529205322266,False,0,0,0,unknown,0.0,0.0,IDLE,,971.6042518615723
0,0.0,3,0.6238141655921936,0.6238141655921936,85.67130001029,851.6080322265625,512.7706909179688,0.0,False,89.45311737060547,False,0,0,0,unknown,0.0,0.0,IDLE,,1011.6559066772461
1,0.04,1,0.9064333438873291,0.9064333438873291,67.61120000737719,892.0404052734375,557.9190673828125,1.2784353494644165,False,109.79277801513672,False,0,0,0,unknown,0.0,0.0,IDLE,,860.7873229980469
1,0.04,2,0.7772729992866516,0.8543194532394409,67.61120000737719,870.5821533203125,535.6911010742188,5.757603168487549,False,90.69515991210938,False,0,0,0,unknown,0.0,0.0,IDLE,,969.2343978881836
1,0.04,3,0.45794111490249634,0.6238141655921936,67.61120000737719,848.82861328125,513.6683959960938,1.0466188192367554,False,90.87135314941406,False,0,0,0,unknown,0.0,0.0,IDLE,,999.3523178100586
2,0.08,1,0.8961034417152405,0.9064333438873291,47.323199978563935,893.386474609375,556.22412109375,1.708446979522705,False,109.41602325439453,False,0,0,0,unknown,0.0,0.0,IDLE,,858.9348220825195
2,0.08,2,0.7489545345306396,0.8543194532394409,47.323199978563935,871.7125854492188,535.413818359375,2.389312982559204,False,87.5268783569336,False,0,0,0,unknown,0.0,0.0,IDLE,,958.7953605651855
2,0.08,3,0.5270847082138062,0.6238141655921936,47.323199978563935,851.4381103515625,513.3619995117188,3.393012762069702,False,88.89775848388672,False,0,0,0,unknown,0.0,0.0,IDLE,,1005.3675384521484
3,0.12,1,0.8928881287574768,0.9064333438873291,57.58289998630062,893.5482788085938,554.860107421875,1.3675400018692017,False,105.56560516357422,False,0,0,0,unknown,0.0,0.0,IDLE,,864.4044342041016
3,0.12,2,0.7147960662841797,0.8543194532394409,57.58289998630062,871.0928344726562,535.6006469726562,2.596451997756958,False,88.05709075927734,False,0,0,0,unknown,0.0,0.0,IDLE,,962.5370635986328
3,0.12,3,0.7589425444602966,0.7589425444602966,57.58289998630062,851.065673828125,512.941650390625,0.7804624438285828,False,80.02091979980469,False,0,0,0,unknown,0.0,0.0,IDLE,,1037.8927001953125
4,0.16,1,0.8961954712867737,0.9064333438873291,35.21150001324713,892.119384765625,555.0422973632812,0.9459336400032043,False,108.65967559814453,False,0,0,0,single,0.0,0.0,IDLE,,862.4873542785645
4,0.16,2,0.7636060118675232,0.8543194532394409,35.21150001324713,872.494140625,534.600341796875,3.1890790462493896,False,88.79337310791016,False,0,0,0,single,0.0,0.0,IDLE,,953.8864288330078
4,0.16,3,0.8785374164581299,0.8785374164581299,35.21150001324713,851.991455078125,512.9061279296875,1.2037713527679443,False,79.10768127441406,False,0,0,0,single,0.0,0.0,IDLE,,1041.5441780090332
5,0.2,1,0.8946138024330139,0.9064333438873291,44.61569999693893,891.212646484375,555.3143920898438,1.2466098070144653,False,111.99412536621094,False,0,0,0,single,0.0,0.0,IDLE,,850.932861328125
5,0.2,2,0.7718866467475891,0.8543194532394409,44.61569999693893,874.1124267578125,534.470703125,0.4678439199924469,False,91.60896301269531,False,0,0,0,single,0.0,0.0,IDLE,,957.9861488342285
5,0.2,3,0.8706434965133667,0.8785374164581299,44.61569999693893,853.724609375,514.312744140625,2.2230405807495117,False,79.74998474121094,False,0,0,0,single,0.0,0.0,IDLE,,1037.7087478637695
5,0.2,4,0.7046909332275391,0.7046909332275391,44.61569999693893,854.5447998046875,515.9284057617188,0.0,False,91.45394134521484,False,0,0,0,unknown,0.0,0.0,IDLE,,1003.8284225463867
6,0.24,1,0.8741996884346008,0.9064333438873291,58.177400002023205,890.554443359375,555.8794555664062,0.6326085925102234,False,108.98771667480469,False,0,0,0,single,0.0,0.0,IDLE,,855.4042282104492
6,0.24,2,0.8413721323013306,0.8543194532394409,58.177400002023205,873.7098388671875,535.3107299804688,2.0264556407928467,False,88.68544006347656,False,0,0,0,single,0.0,0.0,IDLE,,957.0886001586914
6,0.24,3,0.900364100933075,0.900364100933075,58.177400002023205,855.0633544921875,514.2636108398438,3.6070241928100586,False,79.09642028808594,False,0,0,0,single,0.0,0.0,IDLE,,1037.1040878295898
6,0.24,4,0.5181840062141418,0.7046909332275391,58.177400002023205,855.98095703125,514.9939575195312,4.244638919830322,False,90.25448608398438,False,0,0,0,unknown,0.0,0.0,IDLE,,1017.6775817871094
7,0.28,1,0.8748169541358948,0.9064333438873291,59.522800002014264,893.8590087890625,557.1151733398438,1.7524957656860352,False,110.095458984375,False,0,0,0,single,0.0,0.0,IDLE,,859.3350677490234
7,0.28,2,0.8413721323013306,0.8543194532394409,59.522800002014264,873.4005126953125,535.7890014648438,0.893845796585083,False,87.36906433105469,False,0,0,0,single,0.0,0.0,IDLE,,957.0886001586914
7,0.28,3,0.8789024353027344,0.900364100933075,59.522800002014264,856.6556396484375,514.96142578125,1.5445504188537598,False,80.21992492675781,False,0,0,0,single,0.0,0.0,IDLE,,1034.4691886901855
