frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,amp,min_air_y,ground_y,lift_th,ankle_distance,hip_y,is_airborne
0,0.0,0.895831286907196,61.54260004404932,0,0,0,unknown,0.0,IDLE,False,,,,,,2.559441218948364,14.044815063476562,209.936279296875,False
1,0.04,0.9107121825218201,45.84340000292286,0,0,0,unknown,0.0,IDLE,False,,,,,,2.563168339538574,13.785896301269531,209.7510223388672,False
2,0.08,0.9157460331916809,38.02390000782907,0,0,0,unknown,0.0,IDLE,False,,,,,,2.5572101516723627,13.073800086975098,211.100830078125,False
3,0.12,0.9309965968132019,73.53660004446283,0,0,0,unknown,0.0,IDLE,False,,,,,,2.583749137115478,11.64317798614502,212.85079956054688,False
4,0.16,0.9263806343078613,109.62020000442863,0,0,0,double,0.0,IDLE,False,,,,,,2.5618940103530883,11.860486030578613,213.12136840820312,False
5,0.2,0.9271239638328552,75.52909996593371,0,0,0,double,0.0,IDLE,False,,,,,,2.5699399225234982,12.65788459777832,212.50439453125,False
6,0.24,0.9311621785163879,93.61889999127015,0,0,0,double,0.0,IDLE,False,,,,,,2.588092429161071,13.401193618774414,212.24188232421875,False
7,0.28,0.9310261607170105,48.3762999647297,0,0,0,double,0.0,IDLE,False,,,,,,2.553521459197998,13.9077787399292,210.97227478027344,False
8,0.32,0.919528603553772,50.44959997758269,0,0,0,double,0.0,IDLE,False,,,,,,2.5456007942199705,14.486553192138672,209.9317626953125,False
9,0.36,0.9199761152267456,58.52510000113398,0,0,0,double,0.0,IDLE,False,,,,,295.47247924804685,2.5703169857025143,14.284732818603516,209.08547973632812,False
10,0.4,0.9141045212745667,65.1124999858439,0,0,0,double,0.0,IDLE,False,,,,,295.46051025390625,2.5813931276321407,14.528487205505371,208.49298095703125,False
11,0.44,0.9244584441184998,53.33199998131022,0,0,0,double,0.0,IDLE,False,,,,,295.45989379882815,2.5688803028106686,13.920434951782227,208.89053344726562,False
12,0.48,0.9188403487205505,57.92789999395609,0,0,0,double,0.0,IDLE,False,,,,,295.45927734375,2.589652630996704,14.310901641845703,209.02882385253906,False
13,0.52,0.9183743596076965,46.404800028540194,0,0,0,double,0.0,IDLE,False,,,,,295.54429321289064,2.58576773147583,14.369819641113281,209.34512329101562,False
14,0.56,0.9186110496520996,52.39730002358556,0,0,0,double,0.0,IDLE,False,,,,,295.835888671875,2.5928915721893304,13.176945686340332,209.57986450195312,False
15,0.6,0.91204434633255,44.97299995273352,0,0,0,double,0.0,IDLE,False,,,,,296.0901184082031,2.581866362762451,11.511907577514648,209.80560302734375,False
16,0.64,0.9127171039581299,59.8939000046812,0,0,0,double,0.0,IDLE,False,,,,,296.0733642578125,2.5540960510253905,10.92895221710205,211.23080444335938,False
17,0.68,0.9113166332244873,43.435400002636015,0,0,0,double,0.0,IDLE,False,,,,,296.0566101074219,2.5225790996551507,9.590970039367676,213.63510131835938,False
18,0.72,0.9192487597465515,94.05479999259114,0,0,0,double,0.0,IDLE,False,,,,,296.03985595703125,2.472942986679077,9.147073745727539,217.11705017089844,False
19,0.76,0.9181134104728699,73.95579997682944,0,0,0,double,0.0,IDLE,False,,,,,296.0231018066406,2.434749709320068,9.3906888961792,219.26852416992188,False
20,0.8,0.9198572039604187,263.66480003343895,0,0,0,double,0.0,IDLE,False,,,,,296.1379089355469,2.442081651496887,9.706528663635254,221.00613403320312,False
21,0.84,0.9087396264076233,70.12869999743998,0,0,0,double,0.0,IDLE,False,,,,,296.1247528076172,2.509011738204956,9.974371910095215,220.359130859375,False
22,0.88,0.9199355244636536,52.84110002685338,0,0,0,double,0.0,IDLE,False,,,,,296.16669311523435,2.5805339847564697,11.393876075744629,216.55877685546875,False
23,0.92,0.9197685718536377,59.55050000920892,0,0,0,double,0.0,IDLE,False,,,,,296.16309509277346,2.6774096382141113,12.024487495422363,211.37338256835938,False
24,0.96,0.9290164709091187,59.47630002629012,0,0,0,double,0.0,IDLE,False,,,,,296.1594970703125,2.592963751983642,14.376364707946777,203.4420166015625,True
25,1.0,0.9270294904708862,35.394800011999905,0,0,0,double,0.0,IDLE,False,,,,,296.15589904785156,2.6016511493682857,14.00517749786377,197.60623168945312,True
26,1.04,0.9273767471313477,43.38619997724891,0,0,0,double,0.0,IDLE,False,,,,,296.1523010253906,2.5826879924774166,13.734317779541016,194.25778198242188,True
27,1.08,0.93373703956604,59.34109998634085,0,0,0,double,0.0,IDLE,False,,,,,296.14870300292966,2.5602923305511474,14.279438018798828,192.48147583007812,True
28,1.12,0.9307449460029602,54.81980001786724,0,0,0,double,0.0,IDLE,False,,,,,296.1451049804688,2.573390015029907,12.920852661132812,192.50970458984375,True
29,1.16,0.9235605001449585,52.328300022054464,0,0,0,double,0.0,IDLE,False,,,,,296.1415069580078,2.6436703624725335,12.553144454956055,193.8984375,True
30,1.2,0.9217590689659119,70.79490000614896,0,0,0,double,0.0,IDLE,False,,,,,296.1379089355469,2.6833271614074703,11.245820999145508,196.73553466796875,True
31,1.24,0.9073678851127625,70.9517999785021,0,0,0,double,0.0,IDLE,False,,,,,296.1250457763672,2.6945532543182367,12.801292419433594,201.0271453857422,True
32,1.28,0.9222978949546814,57.927099987864494,1,0,1,double,0.0,JUMPING,True,,,21.591009521484352,274.57568359375,296.16669311523435,2.5908377012252806,15.048056602478027,206.02139282226562,False
33,1.32,0.9305890202522278,39.712300000246614,1,0,1,double,0.0,JUMPING,False,,,,,296.24359436035155,2.5208625421524045,16.261760711669922,212.16888427734375,False
34,1.36,0.9151804447174072,58.978699962608516,1,0,1,double,0.0,JUMPING,False,,,,,296.2989013671875,2.4626622457504266,15.806586265563965,218.1694793701172,False
35,1.4,0.9167791604995728,69.25240001874045,1,0,1,double,0.0,JUMPING,False,,,,,296.34857177734375,2.4447130624771116,14.121146202087402,221.23480224609375,False
36,1.44,0.9145523905754089,58.94570000236854,1,0,1,double,0.0,JUMPING,False,,,,,297.51429443359376,2.493159428787231,13.29846477508545,222.1680908203125,False
37,1.48,0.917304515838623,55.157799972221255,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.5759396900177,14.211813926696777,219.9834747314453,False
38,1.52,0.9227755665779114,49.95720001170412,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.657571885871887,15.85108757019043,214.64691162109375,False
39,1.56,0.9194623231887817,54.42359996959567,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.6811104284286498,17.525680541992188,208.03439331054688,True
40,1.6,0.9300371408462524,54.94569998700172,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.631463844299316,16.564041137695312,201.98182678222656,True
41,1.64,0.9293481111526489,41.75309999845922,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.565969322204589,15.578680038452148,197.20774841308594,True
42,1.68,0.9327987432479858,45.960300019942224,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.5772163574218747,13.7056884765625,194.14210510253906,True
43,1.72,0.9305393695831299,44.385000015608966,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.5777784448623655,11.613137245178223,193.03948974609375,True
44,1.76,0.9317857623100281,43.524499982595444,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.617302778625488,10.911598205566406,193.78924560546875,True
45,1.8,0.925866961479187,51.24570004409179,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.6396608257293694,9.881328582763672,195.50961303710938,True
46,1.84,0.8302199244499207,59.88660000730306,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.6258750949859615,10.270310401916504,199.392578125,True
47,1.88,0.9182196855545044,60.022099991329014,1,0,1,double,0.0,JUMPING,False,,,,,298.2208251953125,2.541780856513977,12.250869750976562,204.51097106933594,True
48,1.92,0.9140885472297668,55.728400009684265,2,0,2,double,93.75000209547584,JUMPING,True,0.6399999999999999,0.6399999999999999,25.36053466796875,272.86029052734375,298.2208251953125,2.503128170013427,14.380202293395996,210.73654174804688,False
49,1.96,0.9136425256729126,56.86430004425347,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.44068024520874,14.6002836227417,216.49163818359375,False
50,2.0,0.9136449694633484,40.192299988120794,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.42921046924591,13.442107200622559,218.97610473632812,False
51,2.04,0.900153636932373,48.832800006493926,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.4738489955902097,12.271309852600098,219.45358276367188,True
52,2.08,0.9159035682678223,71.83860003715381,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.560397855377197,13.018998146057129,216.61053466796875,True
53,2.12,0.9217391610145569,41.959800000768155,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.633792811775207,12.880986213684082,211.08544921875,True
54,2.16,0.9261292219161987,67.75490002473816,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.6166415710449216,13.252037048339844,205.740234375,True
55,2.2,0.9280881881713867,75.75560000259429,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.559849288940429,13.162293434143066,200.443603515625,True
56,2.24,0.9227291345596313,62.549700029194355,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.5414635704040527,11.842232704162598,195.75802612304688,True
57,2.28,0.9295912384986877,62.592700007371604,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.53047739906311,11.632278442382812,193.18234252929688,True
58,2.32,0.9223140478134155,56.770000024698675,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.524267496871948,12.920300483703613,192.5288848876953,True
59,2.36,0.9235222935676575,98.48619997501373,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.522131381607055,13.696988105773926,192.39117431640625,True
60,2.4,0.9232873320579529,41.50599997956306,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.5981991252899164,13.475334167480469,193.95004272460938,True
61,2.44,0.8298899531364441,43.20760001428425,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.5845514511108396,14.19796085357666,198.35174560546875,True
62,2.48,0.9016416072845459,52.9693000135012,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.5176328521728513,13.983503341674805,204.38223266601562,True
63,2.52,0.9027475714683533,45.22930004168302,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.36904261264801,13.697273254394531,212.8944091796875,True
64,2.56,0.904674232006073,66.51599996257573,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.350339099693298,12.71877670288086,217.27752685546875,True
65,2.6,0.9022487998008728,44.81509997276589,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.382926040267944,13.262679100036621,218.89645385742188,True
66,2.64,0.917448878288269,38.20020001148805,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.447829094696045,13.962382316589355,218.22653198242188,True
67,2.68,0.9224286079406738,48.54719998547807,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.534294591903686,14.66775131225586,215.73211669921875,True
68,2.72,0.9211544990539551,79.3419000110589,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.585500767898559,15.718080520629883,211.55755615234375,True
69,2.76,0.9218397736549377,53.819899971131235,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.9550415039063,2.607731432914733,15.363250732421875,206.6214599609375,True
70,2.8,0.925926685333252,56.081200018525124,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,298.0483154296875,2.5276699100494384,15.288281440734863,201.66015625,True
71,2.84,0.9245202541351318,66.20930001372471,2,0,2,double,93.75000209547584,JUMPING,False,,0.6399999999999999,,,297.53212280273436,2.514691373062133,14.432174682617188,198.83204650878906,True
