frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,ankle_distance,is_airborne
0,0.0,0.9153225421905518,17.682753037661314,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,211.14395141601562,,118.84813690185547,15.739778518676758,False
1,0.03333333333333333,0.9139633178710938,11.709650978446007,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,216.89950561523438,,126.01238250732422,15.35014820098877,False
2,0.06666666666666667,0.9176438450813293,12.488221284002066,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,226.60096740722656,,134.66238403320312,14.464496612548828,False
3,0.1,0.9214920997619629,11.153511237353086,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,227.857666015625,,135.83567810058594,15.043642044067383,False
4,0.13333333333333333,0.9215656518936157,12.082748115062714,0,0,0,double,0.0,IDLE,False,,,,,,,,,231.2036590576172,,138.33689880371094,14.419443130493164,False
5,0.16666666666666666,0.9363532066345215,11.29754213616252,0,0,0,double,0.0,IDLE,False,,,,,,,,,223.88821411132812,,132.02447509765625,16.418750762939453,False
6,0.2,0.9351907968521118,12.082552071660757,0,0,0,double,0.0,IDLE,False,,,,,,,,,219.69427490234375,,128.6043701171875,17.316680908203125,False
7,0.23333333333333334,0.9168750047683716,10.963161941617727,0,0,0,double,0.0,IDLE,False,,,,,,,,,215.00961303710938,,123.72280883789062,18.171546936035156,False
8,0.26666666666666666,0.9213055372238159,12.315124738961458,0,0,0,double,0.0,IDLE,False,,,,,,,,,210.4742889404297,,119.82417297363281,17.444385528564453,False
9,0.3,0.9188505411148071,11.060929857194424,0,0,0,double,0.0,IDLE,False,,,,,,24.37320420742035,11.101367921447753,228.1922607421875,207.7864227294922,136.08580017089844,117.02548217773438,16.508176803588867,False
10,0.3333333333333333,0.9152261018753052,12.76020286604762,0,0,0,double,0.0,IDLE,False,,,,,,24.597692959308628,10.361459216308592,227.857666015625,208.42776489257812,135.83567810058594,117.08976745605469,15.508971214294434,False
11,0.36666666666666664,0.913945734500885,11.93008292466402,0,0,0,double,0.0,IDLE,False,,,,,,24.63445022106171,10.781155187988281,227.73199462890625,208.93777465820312,135.71835327148438,117.16182708740234,15.197137832641602,False
12,0.4,0.912392258644104,13.49664805456996,0,0,0,double,0.0,IDLE,False,,,,,,24.298800997734073,9.002107580566406,227.6063232421875,211.6977996826172,135.60101318359375,120.01943969726562,13.715072631835938,False
13,0.43333333333333335,0.9191820621490479,11.11368928104639,0,0,0,double,0.0,IDLE,False,,,,,,23.87494466543198,8.908483616638183,227.48065185546875,216.41981506347656,135.4836883544922,125.43807983398438,12.347137451171875,False
14,0.4666666666666667,0.9204249978065491,13.082440942525864,0,0,0,double,0.0,IDLE,False,,,,,,22.99002808570862,9.964680020141602,227.35498046875,223.14089965820312,135.36636352539062,132.57720947265625,12.72072982788086,False
15,0.5,0.9287919998168945,11.408393271267414,0,0,0,double,0.0,IDLE,False,,,,,,8.82766408996582,2.9425546966552734,227.82760620117188,227.7975616455078,136.608642578125,137.38162231445312,13.486316680908203,False
16,0.5333333333333333,0.9326400756835938,12.717593926936388,0,0,0,double,0.0,IDLE,False,,,,,,4.076290338134766,1.3587634460449218,227.8216094970703,227.51744079589844,137.16348266601562,137.01806640625,14.26087760925293,False
17,0.5666666666666667,0.932277500629425,10.996696073561907,0,0,0,double,0.0,IDLE,False,,,,,,4.0,1.1392442642211913,227.8155975341797,226.42422485351562,137.12713623046875,136.3355712890625,14.087361335754395,False
18,0.6,0.9442054629325867,12.202165089547634,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.80958557128906,222.18780517578125,137.0907745361328,131.432861328125,15.223174095153809,True
19,0.6333333333333333,0.919557511806488,11.11377403140068,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.80357360839844,216.0704345703125,137.05442810058594,125.21420288085938,17.480443954467773,True
20,0.6666666666666666,0.929190456867218,12.30798102915287,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.7975616455078,209.762939453125,137.01806640625,119.90962982177734,18.876670837402344,True
21,0.7,0.9291874170303345,11.282328981906176,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.76954650878906,205.92376708984375,136.94981384277344,116.863525390625,17.41948127746582,True
22,0.7333333333333333,0.9386088252067566,12.43588700890541,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.7415313720703,205.31326293945312,136.88156127929688,116.43933868408203,16.237958908081055,True
23,0.7666666666666667,0.9213231801986694,11.300028767436743,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.71353149414062,205.51922607421875,136.81332397460938,116.2767105102539,14.938884735107422,True
24,0.8,0.9284394979476929,12.7593451179564,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.68551635742188,208.42556762695312,136.7450714111328,118.92961120605469,14.41280460357666,True
25,0.8333333333333334,0.9271088242530823,11.19958609342575,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.65750122070312,213.66580200195312,136.67681884765625,124.70870208740234,13.468408584594727,True
26,0.8666666666666667,0.9351164698600769,12.265360914170742,0,0,0,double,0.0,IDLE,False,,,,,,5.58954407043457,1.8631813568115234,227.62948608398438,221.1209716796875,136.6085662841797,131.96621704101562,12.42329216003418,True
27,0.9,0.936939001083374,11.005626991391182,1,0,1,double,0.0,JUMPING,True,,,22.2882080078125,20.66608428955078,22.2882080078125,5.218475550842285,1.7394918502807617,227.60147094726562,226.7077178955078,136.9427947998047,136.91053771972656,12.911749839782715,False
