frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,amp,amp_ewma,lift_th,lift_noise_sigma,min_air_y,ground_y,ankle_distance,hip_y,is_airborne
0,0.0,0.8169177770614624,90.16810002503917,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,0.0,0.0,False
1,0.04,0.8203628659248352,78.22689996100962,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,0.0,0.0,False
2,0.08,0.8360003232955933,81.4263999927789,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,30.462942123413086,233.4682159423828,False
3,0.12,0.8232610821723938,81.79780002683401,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,32.265621185302734,233.228271484375,False
4,0.16,0.8461519479751587,82.9022999969311,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,32.002159118652344,234.26214599609375,False
5,0.2,0.85396409034729,78.8713000365533,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,31.716739654541016,233.53903198242188,False
6,0.24,0.8351696729660034,78.48790002753958,0,0,0,single,0.0,IDLE,False,,,,,,,,,31.8716983795166,233.3809051513672,False
7,0.28,0.8332931399345398,83.24169996194541,0,0,0,single,0.0,IDLE,False,,,,,,,,,31.885643005371094,233.48065185546875,False
8,0.32,0.8396557569503784,82.1948999655433,0,0,0,single,0.0,IDLE,False,,,,,,,,,32.17678451538086,233.7437744140625,False
9,0.36,0.8394977450370789,88.69629999389872,0,0,0,single,0.0,IDLE,False,,,,,,,,,30.956714630126953,233.82090759277344,False
10,0.4,0.8464935421943665,76.08029997209087,0,0,0,single,0.0,IDLE,False,,,,,,,,,29.336069107055664,234.41741943359375,False
11,0.44,0.8672799468040466,119.39880001591519,0,0,0,single,0.0,IDLE,False,,,,,4.0,0.7491274475097656,,342.6455078125,27.902950286865234,234.6387939453125,False
12,0.48,0.8523313403129578,73.44780000858009,0,0,0,single,0.0,IDLE,False,,,,,4.0,0.9969362915039062,,342.801513671875,25.980344772338867,234.70370483398438,False
13,0.52,0.8508340120315552,105.62829999253154,0,0,0,single,0.0,IDLE,False,,,,,4.0,1.0726317810058592,,342.9515319824219,24.751413345336914,234.99850463867188,False
14,0.56,0.8594433069229126,80.89609997114167,0,0,0,single,0.0,IDLE,False,,,,,4.0,1.1483272705078125,,343.17735595703124,23.5615291595459,235.26641845703125,False
15,0.6,0.8760644793510437,109.33459998341277,0,0,0,single,0.0,IDLE,False,,,,,4.0,1.142400128173828,,343.2318878173828,23.544361114501953,235.78077697753906,False
16,0.64,0.870669960975647,100.38189997430891,0,0,0,double,0.0,IDLE,False,,,,,4.0,1.3126584228515625,,343.55218505859375,24.034500122070312,236.1413116455078,False
17,0.68,0.8653930425643921,77.96979998238385,0,0,0,double,0.0,IDLE,False,,,,,4.481869757080077,1.4939565856933592,,344.191650390625,24.650005340576172,236.37066650390625,False
18,0.72,0.8587859869003296,74.80629999190569,0,0,0,double,0.0,IDLE,False,,,,,5.025764245605468,1.675254748535156,,344.93140869140626,25.555156707763672,236.92105102539062,False
19,0.76,0.8253172636032104,74.221899965778,0,0,0,double,0.0,IDLE,False,,,,,5.086845483398437,1.6956151611328123,,344.8898559570313,25.182645797729492,236.85147094726562,False
20,0.8,0.8431293964385986,72.45030003832653,0,0,0,double,0.0,IDLE,False,,,,,5.147926721191406,1.7159755737304687,,344.8168090820312,24.497373580932617,237.25210571289062,False
21,0.84,0.8239495158195496,97.96719998121262,0,0,0,double,0.0,IDLE,False,,,,,5.396188018798828,1.7987293395996093,,344.74376220703124,23.487821578979492,237.2535400390625,False
22,0.88,0.8388565182685852,75.82050003111362,0,0,0,double,0.0,IDLE,False,,,,,5.64444931640625,1.88148310546875,,344.67071533203125,22.939321517944336,237.3798065185547,False
23,0.92,0.8522365689277649,73.1114000082016,0,0,0,double,0.0,IDLE,False,,,,,4.594394970703124,1.5314649902343749,,344.66546630859375,22.982133865356445,237.52142333984375,False
24,0.96,0.808509349822998,73.6752999946475,0,0,0,double,0.0,IDLE,False,,,,,4.0,1.181446875,,344.66021728515625,22.413272857666016,237.39495849609375,False
25,1.0,0.8140180110931396,82.49739999882877,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.9618485137939453,,344.65496826171875,22.354602813720703,237.20181274414062,False
26,1.04,0.800238847732544,73.35089996922761,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.7422501525878906,,344.64971923828125,21.8290958404541,237.35552978515625,False
27,1.08,0.8137805461883545,75.06840000860393,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.7189261688232421,,344.64447021484375,21.486263275146484,237.1839141845703,False
28,1.12,0.8254895210266113,78.96449998952448,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6907156860351562,,344.63922119140625,21.321678161621094,237.02557373046875,False
29,1.16,0.8316118717193604,140.01360000111163,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.7130216491699218,,344.63397216796875,21.142091751098633,236.81146240234375,False
30,1.2,0.8349522352218628,154.13849998731166,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6907156860351562,,344.62872314453125,21.419588088989258,236.4400634765625,False
31,1.24,0.847367525100708,118.75859997235239,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.645764419555664,,344.62347412109375,21.062755584716797,236.1568145751953,False
32,1.28,0.8616028428077698,84.68849997734651,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6351543823242187,,344.61822509765625,21.06427001953125,236.23809814453125,False
33,1.32,0.8540007472038269,75.64960001036525,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.611355322265625,,344.53291015625,20.661752700805664,236.71127319335938,False
34,1.36,0.866823673248291,89.75139999529347,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5875562622070312,,344.4475952148438,20.289793014526367,236.83367919921875,False
35,1.4,0.8758512139320374,76.16810000035912,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.611355322265625,,344.3622802734375,20.211944580078125,237.08499145507812,False
36,1.44,0.861896812915802,104.61879998911172,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6351543823242187,,344.27696533203124,21.213733673095703,237.2069549560547,False
37,1.48,0.8714349865913391,77.42899999720976,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.645764419555664,,344.2187042236328,21.848175048828125,237.1044921875,False
38,1.52,0.8492007851600647,107.11069998797029,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6552885681152344,,344.3765625,21.64867401123047,236.95631408691406,False
39,1.56,0.8583581447601318,102.7477000025101,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6570531372070312,,344.3765625,22.397506713867188,236.68954467773438,False
40,1.6,0.8701885342597961,90.90030001243576,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5495501586914062,,344.3765625,22.638486862182617,236.54515075683594,False
41,1.64,0.8597697615623474,82.75729999877512,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5343024719238281,,344.3765625,22.199766159057617,236.17666625976562,False
42,1.68,0.8349471688270569,76.69889996759593,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4646246154785156,,344.3765625,23.316003799438477,235.83648681640625,False
43,1.72,0.8479386568069458,77.68190000206232,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4646246154785156,,344.3765625,23.311267852783203,235.6649627685547,False
44,1.76,0.8510438799858093,77.51730002928525,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4646246154785156,,344.3765625,23.20102310180664,235.63609313964844,False
45,1.8,0.8778058886528015,75.67550003295764,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4646246154785156,,344.3765625,23.26504898071289,235.45416259765625,False
46,1.84,0.8646635413169861,76.75889995880425,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4526798400878906,,344.3765625,23.23154067993164,235.59568786621094,False
47,1.88,0.8831890821456909,76.45350001985207,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4479290771484375,,344.3765625,23.00645637512207,236.400146484375,False
48,1.92,0.8642981648445129,75.03770000766963,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.49136462402343745,,344.3765625,23.296001434326172,236.74703979492188,False
49,1.96,0.8476483225822449,74.98779997695237,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4572043762207031,,344.3765625,23.702150344848633,236.72128295898438,False
50,2.0,0.8578628897666931,80.76510002138093,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4572043762207031,,344.3765625,24.108278274536133,236.66470336914062,False
51,2.04,0.8571417927742004,77.1332000149414,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4572043762207031,,344.3765625,23.91526985168457,236.03970336914062,False
52,2.08,0.8721469044685364,75.84780000615865,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.41851959228515623,,344.3765625,23.808412551879883,235.2428741455078,False
53,2.12,0.8626547455787659,73.58209998346865,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.4286093078613281,,344.0008544921875,23.437625885009766,234.70407104492188,False
54,2.16,0.8658455610275269,75.66599996061996,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.38277575683593745,,343.8346252441406,23.425195693969727,234.2134552001953,False
55,2.2,0.8675553798675537,78.58060003491119,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.39141762084960935,,343.7252136230469,23.372777938842773,233.80349731445312,False
56,2.24,0.8775567412376404,75.60089998878539,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.39141762084960935,,343.7252136230469,23.824934005737305,233.4237060546875,False
57,2.28,0.8797182440757751,74.48779995320365,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.39919982299804685,,343.7484497070312,24.104084014892578,233.14303588867188,False
58,2.32,0.8568019270896912,76.68580004246905,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.44141374511718745,,343.7747436523438,24.261310577392578,233.17137145996094,False
59,2.36,0.8660098314285278,74.87139996374026,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.44141374511718745,,343.7747436523438,23.937644958496094,233.3791961669922,False
60,2.4,0.8737746477127075,99.37279997393489,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.44141374511718745,,343.7747436523438,23.95170021057129,233.384765625,False
61,2.44,0.8633967638015747,85.34320001490414,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.49136462402343745,,343.7747436523438,23.57254981994629,233.51812744140625,False
62,2.48,0.8888487815856934,104.79639994446188,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.49136462402343745,,343.7747436523438,23.810909271240234,233.534912109375,False
63,2.52,0.8891699910163879,113.19310002727434,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5044405334472656,,343.7747436523438,23.8413028717041,233.8290557861328,False
64,2.56,0.8771889209747314,86.87619998818263,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5216790161132813,,343.7747436523438,23.456838607788086,234.47802734375,False
65,2.6,0.8729137182235718,73.39969999156892,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.5787334167480468,,343.7747436523438,23.344331741333008,234.82870483398438,False
66,2.64,0.8755315542221069,75.28379996074364,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6142510253906249,,343.7747436523438,22.836742401123047,234.81781005859375,False
67,2.68,0.8641074895858765,77.17149995733052,0,0,0,double,0.0,IDLE,False,,,,,4.0,0.6172372192382812,,343.7747436523438,23.02042007446289,234.96636962890625,False
