frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0.0,1,0.8255341053009033,38.20155514404178,0,0.0,IDLE,,,,,,,,,853.0018310546875,,600.7147216796875,False,1139,258,1449,1334
0,0.0,2,0.8068614602088928,38.20155514404178,0,0.0,IDLE,,,,,,,,,892.9298095703125,,657.3220825195312,False,1885,462,2188,1319
0,0.0,3,0.709800124168396,38.20155514404178,0,0.0,IDLE,,,,,,,,,872.65869140625,,625.0858154296875,False,384,322,703,1299
1,0.04,2,0.8459344506263733,31.989935087040067,0,0.0,IDLE,,,,,,,,,893.0701904296875,,657.7222900390625,False,1885,460,2188,1326
1,0.04,3,0.7195187211036682,31.989935087040067,0,0.0,IDLE,,,,,,,,,872.8777465820312,,626.046142578125,False,386,329,700,1305
1,0.04,1,0.8295968770980835,31.989935087040067,0,0.0,IDLE,,,,,,,,,853.3485107421875,,602.0498046875,False,1132,266,1449,1343
2,0.08,3,0.7329360842704773,27.86441403441131,0,0.0,IDLE,,,,,,,,,872.0069580078125,,624.2235107421875,False,384,328,703,1304
2,0.08,1,0.8239331245422363,27.86441403441131,0,0.0,IDLE,,,,,,,,,850.7027587890625,,599.0392456054688,False,1130,260,1450,1338
2,0.08,2,0.818372368812561,27.86441403441131,0,0.0,IDLE,,,,,,,,,893.4822998046875,,657.3839721679688,False,1883,460,2187,1317
3,0.12,3,0.7221835851669312,27.883795090019703,0,0.0,IDLE,,,,,,,,,872.1547241210938,,625.083740234375,False,381,329,703,1305
3,0.12,1,0.805179238319397,27.883795090019703,0,0.0,IDLE,,,,,,,,,852.1591796875,,599.875,False,1132,260,1450,1344
3,0.12,2,0.8334051966667175,27.883795090019703,0,0.0,IDLE,,,,,,,,,892.9395751953125,,657.386962890625,False,1883,459,2191,1316
4,0.16,1,0.8048685193061829,28.396029956638813,0,0.0,IDLE,,,,,,,,,853.956298828125,,600.95556640625,False,1130,258,1451,1338
4,0.16,2,0.8299164175987244,28.396029956638813,0,0.0,IDLE,,,,,,,,,894.3701782226562,,657.9786987304688,False,1886,458,2187,1317
4,0.16,3,0.7465132474899292,28.396029956638813,0,0.0,IDLE,,,,,,,,,872.510009765625,,624.87109375,False,373,338,705,1300
5,0.2,2,0.8161916732788086,27.882362017408013,0,0.0,IDLE,,,,,,,,,894.3194580078125,,658.1221313476562,False,1889,459,2187,1316
5,0.2,1,0.7935211658477783,27.882362017408013,0,0.0,IDLE,,,,,,,,,856.6575317382812,,602.3592529296875,False,1129,266,1452,1341
5,0.2,3,0.7112953662872314,27.882362017408013,0,0.0,IDLE,,,,,,,,,873.5210571289062,,624.8384399414062,False,369,343,702,1303
6,0.24,1,0.8045017719268799,27.52532996237278,0,0.0,IDLE,,,,,,,,,858.6678466796875,,603.5042724609375,False,1127,268,1450,1343
6,0.24,2,0.8403487801551819,27.52532996237278,0,0.0,IDLE,,,,,,,,,893.44580078125,,658.87548828125,False,1893,461,2186,1317
6,0.24,3,0.6939890384674072,27.52532996237278,0,0.0,IDLE,,,,,,,,,873.3869018554688,,625.1475219726562,False,362,342,702,1305
7,0.28,3,0.6716538071632385,28.549661859869957,0,0.0,IDLE,,,,,,,,,875.46044921875,,626.3787231445312,False,360,333,701,1308
7,0.28,2,0.829524040222168,28.549661859869957,0,0.0,IDLE,,,,,,,,,893.3721923828125,,659.1925048828125,False,1894,462,2181,1317
7,0.28,1,0.7982186675071716,28.549661859869957,0,0.0,IDLE,,,,,,,,,859.1812744140625,,603.3011474609375,False,1116,261,1452,1337
