frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.9121668338775635,57.632100011687726,894.3428955078125,546.7174682617188,0.0,False,92.33403015136719,False,0,0,0,unknown,0.0,0.0,IDLE,,819.6550598144531
1,0.04,0.9125353693962097,40.833700011717156,893.1278686523438,546.331298828125,1.370824933052063,False,94.76752471923828,False,0,0,0,unknown,0.0,0.0,IDLE,,821.9264831542969
2,0.08,0.9099740386009216,40.25570000521839,893.247802734375,546.9707641601562,0.9074965715408325,False,96.95997619628906,False,0,0,0,unknown,0.0,0.0,IDLE,,821.0804672241211
3,0.12,0.9126175045967102,72.71279999986291,893.627197265625,547.663330078125,0.7097052931785583,False,97.74491882324219,False,0,0,0,unknown,0.0,0.0,IDLE,,822.3616104125977
4,0.16,0.911507785320282,51.07549999956973,893.6774291992188,548.2175903320312,1.069917917251587,False,95.22128295898438,False,0,0,0,single,0.0,0.0,IDLE,,823.781867980957
5,0.2,0.913982629776001,57.6876999984961,894.7294311523438,547.9630737304688,1.7249351739883423,False,97.72083282470703,False,0,0,0,single,0.0,0.0,IDLE,,818.9290008544922
6,0.24,0.9127635359764099,48.01849997602403,895.1314697265625,549.3430786132812,1.441382646560669,False,93.9646987915039,False,0,0,0,single,0.0,0.0,IDLE,,823.0402908325195
7,0.28,0.9107487797737122,30.349800013937056,894.947021484375,549.2527465820312,0.1087464913725853,False,95.59700012207031,False,0,0,0,single,0.0,0.0,IDLE,,818.741340637207
8,0.32,0.9094001054763794,31.14790000836365,894.351318359375,549.9929809570312,2.0556299686431885,False,94.22592163085938,False,0,0,0,single,0.0,0.0,IDLE,,820.4618682861328
9,0.36,0.9108210802078247,35.13159998692572,895.2122802734375,550.7319946289062,2.4811441898345947,False,97.18006134033203,False,0,0,0,single,0.0,0.0,IDLE,1227.0908618164062,821.4170951843262
10,0.4,0.9139025211334229,31.6783000016585,895.9283447265625,551.3623046875,1.0661405324935913,False,98.18182373046875,False,0,0,0,single,0.0,0.0,IDLE,1227.055810546875,819.8334159851074
11,0.44,0.9106537103652954,31.434000004082918,896.5533447265625,552.4432983398438,1.5598313808441162,False,94.66033172607422,False,0,0,0,single,0.0,0.0,IDLE,1227.1423297119138,822.3041038513184
12,0.48,0.9127474427223206,31.220799981383607,896.22509765625,554.275390625,2.2972116470336914,False,94.90060424804688,False,0,0,0,single,0.0,0.0,IDLE,1227.390129394531,822.5395889282227
13,0.52,0.9132720232009888,31.700699997600168,896.4736328125,554.6215209960938,1.1144407987594604,False,91.54390716552734,False,0,0,0,single,0.0,0.0,IDLE,1227.6407574462892,825.2961273193359
14,0.56,0.9104600548744202,48.24649999500252,897.613037109375,554.8212890625,0.7844091057777405,False,91.67507934570312,False,0,0,0,single,0.0,0.0,IDLE,1227.6631689453125,820.0773468017578
15,0.6,0.9096507430076599,46.409800008405,897.0758666992188,555.2659301757812,0.9218210577964783,False,94.91690063476562,False,0,0,0,single,0.0,0.0,IDLE,1227.6186645507812,818.7492027282715
16,0.64,0.9144544005393982,50.145499990321696,897.4071655273438,555.3097534179688,1.107312798500061,False,93.99170684814453,False,0,0,0,single,0.0,0.0,IDLE,1227.6438867187499,820.7884368896484
17,0.68,0.9096472263336182,38.28489998704754,897.2010498046875,555.2981567382812,2.9536359310150146,False,95.63274383544922,False,0,0,0,single,0.0,0.0,IDLE,1227.6091418457029,822.3272094726562
18,0.72,0.9128832221031189,30.954299989389256,895.4970703125,554.6316528320312,2.0055882930755615,False,94.32662963867188,False,0,0,0,single,0.0,0.0,IDLE,1227.5743969726564,822.8581924438477
19,0.76,0.9101777672767639,32.43669998482801,892.3045043945312,553.01904296875,1.6828042268753052,False,93.63275146484375,False,0,0,0,single,0.0,0.0,IDLE,1227.5396520996094,823.5428466796875
20,0.8,0.912842333316803,51.07960000168532,885.1963500976562,551.1262817382812,1.947645664215088,False,97.7550048828125,False,0,0,0,single,0.0,0.0,IDLE,1227.5049072265624,821.660099029541
21,0.84,0.9090847373008728,34.7775999980513,879.4695434570312,550.7026977539062,2.2284932136535645,False,99.67010498046875,False,0,0,0,single,0.0,0.0,IDLE,1227.4901257324218,821.3464050292969
22,0.88,0.8917099833488464,33.912999992026016,878.42822265625,550.265625,1.239870309829712,False,101.12901306152344,False,0,0,0,single,0.0,0.0,IDLE,1227.4753442382812,823.6238021850586
23,0.92,0.8981143832206726,30.92260000994429,880.485107421875,549.4297485351562,0.901678740978241,False,96.8627700805664,False,0,0,0,single,0.0,0.0,IDLE,1227.4605627441406,822.9098968505859
24,0.96,0.9078899025917053,33.276000001933426,879.00927734375,547.8869018554688,1.8167909383773804,False,93.9489517211914,False,0,0,0,single,0.0,0.0,IDLE,1227.4457812499998,821.105598449707
25,1.0,0.8948843479156494,30.26909998152405,874.5204467773438,547.1154174804688,1.324135184288025,False,89.5126724243164,False,0,0,0,single,0.0,0.0,IDLE,1227.4303131103516,831.9729652404785
