frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,0.729619562625885,127.52609999733977,211.55282592773438,90.35799407958984,0.0,False,10.872653007507324,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,0.7430387735366821,114.6050000024843,212.83399963378906,93.22616577148438,2.9884419441223145,False,14.669740676879883,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,0.7646833658218384,104.26490000099875,215.67752075195312,97.6684799194336,4.511477947235107,False,13.079427719116211,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,0.8136086463928223,112.97950000152923,218.57986450195312,100.13961791992188,2.6904361248016357,False,14.43248462677002,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,0.833846390247345,174.8070000030566,223.30572509765625,101.51730346679688,1.4538034200668335,False,16.85004997253418,False,0,0,0,double,0.0,0.0,IDLE
5,0.2,0.8196163773536682,157.02220000093803,219.765625,100.64351654052734,0.8906662464141846,False,20.663537979125977,False,0,0,0,double,0.0,0.0,IDLE
6,0.24,0.8136972784996033,126.94619999820134,215.72511291503906,97.32070922851562,3.326284170150757,False,23.218103408813477,False,0,0,0,double,0.0,0.0,IDLE
7,0.28,0.8352808356285095,146.2342999948305,211.05343627929688,94.13077545166016,3.2066702842712402,False,22.251726150512695,False,0,0,0,single,0.0,0.0,IDLE
8,0.32,0.8032516241073608,115.684099997452,205.73036193847656,91.0101089477539,3.218012571334839,False,20.302379608154297,True,0,0,0,single,0.0,0.0,IDLE
9,0.36,0.7710778713226318,99.67379999579862,202.01129150390625,88.89705657958984,2.3120832443237305,False,20.983591079711914,True,0,0,0,single,0.0,0.0,IDLE
10,0.4,0.7332918047904968,86.05839999654563,200.09625244140625,87.99942016601562,1.1380038261413574,False,22.88401222229004,True,0,0,0,single,0.0,0.0,IDLE
11,0.44,0.7329535484313965,196.66069999948377,201.955810546875,88.2722396850586,1.1571553945541382,False,24.49333953857422,True,0,0,0,single,0.0,0.0,IDLE
12,0.48,0.7643304467201233,216.54909999779193,207.6719970703125,90.6408920288086,2.522670269012451,False,25.097766876220703,True,0,0,0,single,0.0,0.0,IDLE
13,0.52,0.8201392889022827,155.273299998953,210.22286987304688,94.11771392822266,3.551736354827881,False,22.755632400512695,True,0,0,0,single,0.0,0.0,IDLE
14,0.56,0.7796265482902527,112.98049999459181,213.08465576171875,97.43207550048828,3.380049705505371,False,21.129024505615234,True,0,0,0,single,0.0,0.0,IDLE
15,0.6,0.8027172684669495,107.4746000012965,215.637939453125,99.25164794921875,1.8803341388702393,False,20.693103790283203,True,0,0,0,single,0.0,0.0,IDLE
16,0.64,0.8168540000915527,128.1862000032561,214.9306182861328,97.94849395751953,1.3031580448150635,False,21.106962203979492,False,1,1,0,single,0.0,0.0,JUMPING
17,0.68,0.8087020516395569,109.94300000311341,212.82994079589844,94.6937484741211,3.2610321044921875,False,22.177165985107422,False,1,1,0,single,0.0,0.0,JUMPING
18,0.72,0.7265543937683105,93.49759999895468,209.22607421875,90.68292236328125,4.014741897583008,False,22.082908630371094,True,1,1,0,single,0.0,0.0,JUMPING
19,0.76,0.7660311460494995,96.36440000031143,204.86868286132812,86.8907241821289,3.8145999908447266,False,20.441251754760742,True,1,1,0,single,0.0,0.0,JUMPING
20,0.8,0.7596883773803711,92.63239999563666,203.45449829101562,84.51274108886719,2.3838815689086914,False,19.135650634765625,True,1,1,0,single,0.0,0.0,JUMPING
21,0.84,0.7617316246032715,91.4487000045483,204.53277587890625,84.4464111328125,0.37201932072639465,False,17.467510223388672,True,1,1,0,single,0.0,0.0,JUMPING
22,0.88,0.7673452496528625,84.39329999964684,208.7302703857422,86.58524322509766,2.1550607681274414,False,16.8077449798584,True,1,1,0,single,0.0,0.0,JUMPING
23,0.92,0.7838743329048157,93.62449999753153,212.20033264160156,89.885986328125,3.3163461685180664,False,17.42770004272461,True,1,1,0,double,0.0,0.0,JUMPING
24,0.96,0.8318902850151062,90.34109999629436,217.028076171875,93.09581756591797,3.2153894901275635,False,20.064756393432617,True,1,1,0,double,0.0,0.0,JUMPING
25,1.0,0.7899911999702454,104.15569999895524,221.89866638183594,96.21414947509766,3.132882833480835,False,21.260086059570312,False,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
26,1.04,0.8171868324279785,89.94459999667015,221.6143798828125,97.686767578125,1.483245611190796,False,20.417375564575195,False,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
27,1.08,0.826736330986023,88.51539999886882,218.96832275390625,96.19710540771484,1.4940130710601807,False,19.778100967407227,False,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
28,1.12,0.80424964427948,100.96449999400647,214.4832305908203,91.5470962524414,4.655420780181885,False,20.580720901489258,False,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
29,1.16,0.7445192337036133,101.56319999805419,209.82180786132812,87.6790542602539,3.891505241394043,False,19.796659469604492,False,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
30,1.2,0.7542634010314941,95.4767000002903,204.72293090820312,84.63372039794922,3.1040163040161133,False,19.17519187927246,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
31,1.24,0.7155613899230957,125.44750000233762,201.57867431640625,83.56327819824219,1.135585904121399,False,18.69468879699707,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
32,1.28,0.692024827003479,129.01740000233985,201.9542236328125,83.955322265625,0.4702310860157013,False,20.695213317871094,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
33,1.32,0.7080099582672119,117.85779999627266,201.80299377441406,84.29266357421875,0.35213595628738403,False,22.73189353942871,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
34,1.36,0.7850868105888367,84.92239999759477,205.9520263671875,87.93304443359375,3.721036672592163,False,21.91102409362793,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
35,1.4,0.7481676340103149,115.76429999695392,210.927734375,92.39202880859375,4.507830619812012,False,17.99626350402832,True,2,2,0,single,2.7777776673988104,166.66666004392863,JUMPING
36,1.44,0.7864692211151123,88.60819999972591,215.80935668945312,95.42374420166016,3.0915091037750244,False,16.943828582763672,False,3,3,0,single,2.499999776482602,149.99998658895612,JUMPING
37,1.48,0.7585528492927551,102.48549999960233,217.68304443359375,95.94513702392578,0.5398099422454834,False,18.515851974487305,False,3,3,0,single,2.499999776482602,149.99998658895612,JUMPING
