frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,194.5974884033203,102.1340103149414,0.0,False,14.677719116210938,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,194.92425537109375,102.3533706665039,0.22323943674564362,False,14.226713180541992,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,194.37130737304688,101.79784393310547,0.6560363173484802,False,13.916275024414062,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,195.228515625,102.2013168334961,0.4432293176651001,False,15.544502258300781,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,196.76712036132812,104.44835662841797,2.2547717094421387,False,15.183037757873535,False,0,0,0,double,0.0,0.0,IDLE
5,0.2,199.63125610351562,107.79761505126953,3.350210189819336,False,14.641063690185547,False,0,0,0,double,0.0,0.0,IDLE
6,0.24,204.5100555419922,111.8991928100586,4.106419086456299,False,15.343017578125,False,0,0,0,double,0.0,0.0,IDLE
7,0.28,209.1951904296875,115.41381072998047,3.523332118988037,False,15.25721549987793,False,0,0,0,double,0.0,0.0,IDLE
8,0.32,211.690185546875,116.55486297607422,1.1530979871749878,False,15.415775299072266,False,0,0,0,double,0.0,0.0,IDLE
9,0.36,211.04931640625,114.75235748291016,1.8198175430297852,False,14.782490730285645,False,0,0,0,double,0.0,0.0,IDLE
10,0.4,207.0,110.88602447509766,3.86649227142334,False,15.612195014953613,False,0,0,0,double,0.0,0.0,IDLE
11,0.44,202.43063354492188,107.03582763671875,3.860358476638794,False,16.079254150390625,True,0,0,0,double,0.0,0.0,IDLE
12,0.48,198.35073852539062,103.89666748046875,3.1393203735351562,False,15.544034957885742,True,0,0,0,double,0.0,0.0,IDLE
13,0.52,196.4483642578125,101.948486328125,1.94821298122406,False,15.658506393432617,True,0,0,0,double,0.0,0.0,IDLE
14,0.56,195.83224487304688,101.87371063232422,0.1293676644563675,False,15.227010726928711,True,0,0,0,double,0.0,0.0,IDLE
15,0.6,197.30462646484375,103.6044921875,1.7343568801879883,False,15.806694984436035,True,0,0,0,double,0.0,0.0,IDLE
16,0.64,199.95761108398438,106.95670318603516,3.3547470569610596,False,15.896547317504883,True,0,0,0,double,0.0,0.0,IDLE
17,0.68,204.02862548828125,111.26570892333984,4.3090996742248535,False,15.277108192443848,True,0,0,0,double,0.0,0.0,IDLE
18,0.72,207.42556762695312,114.654541015625,3.3941919803619385,False,14.600210189819336,False,1,0,1,double,0.0,0.0,JUMPING
19,0.76,207.86514282226562,115.1941146850586,0.5455881357192993,False,14.593510627746582,False,1,0,1,double,0.0,0.0,JUMPING
20,0.8,205.89312744140625,112.5689468383789,2.627659797668457,False,15.170811653137207,False,1,0,1,double,0.0,0.0,JUMPING
21,0.84,201.96942138671875,108.66809844970703,3.9030685424804688,False,15.550712585449219,True,1,0,1,double,0.0,0.0,JUMPING
22,0.88,198.47586059570312,105.09859466552734,3.5768518447875977,False,15.967198371887207,True,1,0,1,double,0.0,0.0,JUMPING
23,0.92,195.5372314453125,102.470703125,2.632505416870117,False,16.20758628845215,True,1,0,1,double,0.0,0.0,JUMPING
24,0.96,194.27301025390625,101.54021453857422,0.9596437215805054,False,16.07554817199707,True,1,0,1,double,0.0,0.0,JUMPING
25,1.0,194.732666015625,102.4854736328125,0.9474467039108276,False,16.06583595275879,True,1,0,1,double,0.0,0.0,JUMPING
26,1.04,197.51280212402344,104.72418212890625,2.2406222820281982,False,15.162541389465332,True,1,0,1,double,0.0,0.0,JUMPING
27,1.08,201.21340942382812,108.59050750732422,3.8966264724731445,False,15.21060562133789,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
