frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,262.8017883300781,107.49031066894531,0.0,False,5.451522350311279,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,266.6677551269531,112.56590270996094,5.125637054443359,False,7.411344051361084,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,274.19317626953125,118.98724365234375,6.536015033721924,False,9.020712852478027,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,280.900146484375,123.75225830078125,4.766532897949219,False,10.712211608886719,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,282.1158752441406,123.80905151367188,0.8721513748168945,False,10.642971992492676,False,0,0,0,double,0.0,0.0,IDLE
5,0.2,281.8807373046875,124.07962799072266,0.28138941526412964,False,10.751080513000488,False,0,0,0,double,0.0,0.0,IDLE
6,0.24,276.20306396484375,120.31314086914062,4.566758155822754,False,10.195836067199707,False,0,0,0,double,0.0,0.0,IDLE
7,0.28,261.89666748046875,109.24911499023438,11.192891120910645,False,10.726937294006348,True,0,0,0,double,0.0,0.0,IDLE
8,0.32,246.10324096679688,93.55500793457031,15.698843955993652,False,11.267440795898438,True,0,0,0,double,0.0,0.0,IDLE
9,0.36,233.7709197998047,78.68274688720703,14.887799263000488,False,13.404630661010742,True,0,0,0,double,0.0,0.0,IDLE
10,0.4,222.18991088867188,67.21211242675781,11.484111785888672,False,13.389703750610352,True,0,0,0,double,0.0,0.0,IDLE
11,0.44,217.1492919921875,62.24098205566406,5.0250325202941895,False,13.595666885375977,True,0,0,0,double,0.0,0.0,IDLE
12,0.48,213.6009521484375,57.820838928222656,4.701601982116699,False,10.436294555664062,True,0,0,0,double,0.0,0.0,IDLE
13,0.52,213.52020263671875,56.96241760253906,1.5625001192092896,False,9.725176811218262,True,0,0,0,double,0.0,0.0,IDLE
14,0.56,216.49801635742188,59.931304931640625,3.119533061981201,False,8.727789878845215,True,0,0,0,double,0.0,0.0,IDLE
15,0.6,223.9944610595703,65.989990234375,6.076078414916992,False,8.11437702178955,True,0,0,0,double,0.0,0.0,IDLE
16,0.64,228.9293212890625,69.9111557006836,3.9240262508392334,False,8.532549858093262,True,0,0,0,double,0.0,0.0,IDLE
17,0.68,237.57150268554688,79.2167739868164,9.305865287780762,False,9.441864967346191,True,0,0,0,double,0.0,0.0,IDLE
18,0.72,250.7949981689453,93.322021484375,14.105270385742188,False,9.460559844970703,True,0,0,0,double,0.0,0.0,IDLE
19,0.76,266.0526123046875,110.01178741455078,16.825218200683594,False,9.310757637023926,False,1,0,1,double,0.0,0.0,JUMPING
20,0.8,274.0917053222656,119.76553344726562,9.818463325500488,False,8.832204818725586,False,1,0,1,double,0.0,0.0,JUMPING
21,0.84,271.831787109375,118.4068832397461,1.362851858139038,False,10.421274185180664,False,1,0,1,double,0.0,0.0,JUMPING
22,0.88,260.68145751953125,107.6596908569336,10.767375946044922,False,9.78502082824707,True,1,0,1,double,0.0,0.0,JUMPING
23,0.92,253.2833709716797,100.76876831054688,6.903019428253174,False,9.961241722106934,True,1,0,1,double,0.0,0.0,JUMPING
