frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.9165117144584656,29.859400005079806,0.0,,0.0,False,0.0,False,0,0,0,unknown,0.0,0.0,IDLE,,232.1550567626953
1,0.04,0.910759687423706,26.617299998179078,0.0,,0.0,False,0.0,False,0,0,0,unknown,0.0,0.0,IDLE,,235.3615545272827
2,0.08,0.9058411717414856,27.990000002318993,234.556640625,116.64907836914062,0.0,False,29.52845573425293,False,0,0,0,unknown,0.0,0.0,IDLE,,305.041979598999
3,0.12,0.8996191620826721,34.00590000092052,233.9463653564453,116.97342681884766,0.7563838362693787,False,32.08116912841797,False,0,0,0,unknown,0.0,0.0,IDLE,,314.89851207733153
4,0.16,0.9016746282577515,31.60719998413697,234.78192138671875,117.12943267822266,0.8801472783088684,False,31.866825103759766,False,0,0,0,unknown,0.0,0.0,IDLE,,316.0926086425781
5,0.2,0.9006699919700623,33.77750000800006,234.2763671875,117.11644744873047,0.6435407400131226,False,31.74625015258789,False,0,0,0,unknown,0.0,0.0,IDLE,,316.317400932312
6,0.24,0.8975354433059692,28.982799994992092,234.30075073242188,117.12979888916016,0.6626330018043518,False,31.50016975402832,False,0,0,0,single,0.0,0.0,IDLE,,313.0685497283935
7,0.28,0.8919756412506104,33.34359999280423,234.25318908691406,117.0029296875,0.25896719098091125,False,31.530044555664062,False,0,0,0,single,0.0,0.0,IDLE,,313.86703948974605
8,0.32,0.9002172350883484,32.367799984058365,234.35169982910156,116.76007080078125,0.383213609457016,False,31.621959686279297,False,0,0,0,single,0.0,0.0,IDLE,,314.37223606109615
9,0.36,0.9084312319755554,34.73200000007637,234.67828369140625,116.73094940185547,0.42869412899017334,False,30.35194206237793,False,0,0,0,single,0.0,0.0,IDLE,,316.34296474456784
10,0.4,0.9104920625686646,30.04519999376498,235.13983154296875,116.85906219482422,0.36079201102256775,False,28.951826095581055,False,0,0,0,single,0.0,0.0,IDLE,,312.333376121521
11,0.44,0.9175822734832764,34.52480002306402,235.48611450195312,117.00698852539062,0.32561105489730835,False,26.645280838012695,False,0,0,0,single,0.0,0.0,IDLE,346.48922866821283,305.683749961853
12,0.48,0.9106638431549072,32.97619998920709,236.59585571289062,116.91534423828125,0.1837817281484604,False,25.211889266967773,False,0,0,0,single,0.0,0.0,IDLE,346.45215606689453,306.47143249511714
13,0.52,0.7905533909797668,34.16300000390038,237.13560485839844,116.8373031616211,0.15960247814655304,False,25.338970184326172,False,0,0,0,single,0.0,0.0,IDLE,346.4293663024902,304.9025653839111
14,0.56,0.9169057011604309,38.67010000976734,237.32754516601562,116.69347381591797,0.44686010479927063,False,24.69451332092285,False,0,0,0,single,0.0,0.0,IDLE,346.4065765380859,296.8608106613159
15,0.6,0.9347666501998901,27.965899993432686,236.96551513671875,116.64065551757812,0.5999172329902649,False,24.128992080688477,False,0,0,0,single,0.0,0.0,IDLE,346.6120320129394,298.56500644683837
16,0.64,0.9145628213882446,34.96720001567155,237.36734008789062,116.45873260498047,0.8225029706954956,False,25.19732093811035,False,0,0,0,double,0.0,0.0,IDLE,346.7464602661133,290.63261775970454
17,0.68,0.9189597964286804,34.723500022664666,237.12974548339844,116.6244888305664,0.4472970962524414,False,25.18478012084961,False,0,0,0,double,0.0,0.0,IDLE,347.14160079956054,293.692921257019
18,0.72,0.8810738921165466,32.741100003477186,237.32101440429688,116.732666015625,0.9665979146957397,False,24.46250343322754,False,0,0,0,double,0.0,0.0,IDLE,347.612353515625,288.2077520370483
19,0.76,0.9139450192451477,29.24249999341555,238.13949584960938,116.64965057373047,0.9661509394645691,False,24.655250549316406,False,0,0,0,double,0.0,0.0,IDLE,347.61703338623045,280.64552307128906
