frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,amp,amp_ewma,lift_th,lift_noise_sigma,min_air_y,ground_y,ankle_distance,hip_y,is_airborne
0,0.0,0.8945003747940063,34.99150002608076,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,10.332393646240234,207.54251098632812,False
1,0.04,0.8937645554542542,30.99799994379282,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,10.355436325073242,207.741455078125,False
2,0.08,0.8919532895088196,31.911299971397966,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,7.951269626617432,210.0170135498047,False
3,0.12,0.8930257558822632,31.15960001014173,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,10.626212120056152,210.4931640625,False
4,0.16,0.8774791359901428,36.22569999424741,0,0,0,double,0.0,IDLE,False,,,,,,,,,11.217273712158203,211.65066528320312,False
5,0.2,0.8553193211555481,43.23599999770522,0,0,0,double,0.0,IDLE,False,,,,,,,,,13.274287223815918,212.18112182617188,False
6,0.24,0.845184862613678,34.501199959777296,0,0,0,double,0.0,IDLE,False,,,,,,,,,12.274542808532715,217.0290069580078,False
7,0.28,0.8375835418701172,27.952199976425618,0,0,0,double,0.0,IDLE,False,,,,,,,,,8.53246784210205,224.42071533203125,False
8,0.32,0.8302034139633179,32.653799979016185,0,0,0,double,0.0,IDLE,False,,,,,,,,,9.416410446166992,228.21868896484375,False
9,0.36,0.8866422772407532,45.911399996839464,0,0,0,double,0.0,IDLE,False,,,,,17.188856201171877,6.336499740600585,,226.17605590820312,9.50206470489502,225.9490966796875,False
10,0.4,0.8872272968292236,38.08159998152405,0,0,0,double,0.0,IDLE,False,,,,,17.382239074707034,6.877204431152343,,225.9490966796875,9.36612606048584,223.7561798095703,False
11,0.44,0.897201418876648,38.32290001446381,0,0,0,double,0.0,IDLE,False,,,,,17.461478149414063,8.489126985168456,,225.79625854492187,13.457465171813965,217.65841674804688,False
12,0.48,0.8861153721809387,40.195100009441376,0,0,0,double,0.0,IDLE,False,,,,,17.156158731079103,5.718719577026367,,225.64342041015624,14.762979507446289,213.87423706054688,False
13,0.52,0.9055829048156738,44.522800017148256,0,0,0,double,0.0,IDLE,False,,,,,17.227787231445316,6.39894965057373,,225.49058227539064,14.73074722290039,211.0956573486328,False
14,0.56,0.898888111114502,35.071699996478856,0,0,0,double,0.0,IDLE,False,,,,,17.136428955078127,6.582249920654297,,225.337744140625,15.078234672546387,210.02621459960938,False
15,0.6,0.8817620277404785,61.240000010002404,0,0,0,double,0.0,IDLE,False,,,,,13.73448959197998,4.57816319732666,,225.18490600585938,13.173537254333496,211.75320434570312,False
16,0.64,0.8751507997512817,49.265500041656196,0,0,0,double,0.0,IDLE,False,,,,,9.625520791625977,3.208506930541992,,225.03206787109374,14.390503883361816,213.68011474609375,True
17,0.68,0.849040687084198,83.83670001057908,1,0,1,double,0.0,JUMPING,True,,,11.199114990234364,11.199114990234364,15.59397214050293,5.197990713500976,213.68011474609375,224.8792297363281,13.761568069458008,219.12249755859375,False
18,0.72,0.8926845788955688,303.90950001310557,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,9.832993395996095,3.2776644653320313,,224.7263916015625,12.705194473266602,221.527587890625,False
19,0.76,0.8603800535202026,227.55800001323223,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,9.31882510986328,3.1062750366210934,,224.57355346679688,12.409767150878906,223.85394287109375,False
20,0.8,0.880692183971405,51.09570000786334,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.42071533203125,13.707324028015137,222.17916870117188,False
21,0.84,0.8906847238540649,74.36649996088818,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.3640380859375,13.229137420654297,216.61041259765625,False
