frame_idx,timestamp,best_conf,infer_ms,hip_y,hip_baseline,hip_signal,dyn_thr,head_y,head_move_px,head_drop_event,ankle_distance,is_jumping,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,person_h
0,0.0,0.9165117144584656,35.366500029340386,240.48324584960938,240.48324584960938,0.0,2.0,116.20320892333984,0.0,False,0.0,False,0,0,0,unknown,0.0,0.0,IDLE,232.1550567626953
1,0.04,0.910759687423706,31.782300036866218,240.15968322753906,240.32147216796875,0.1617889404296875,2.0,116.26993560791016,1.1343570947647095,False,0.0,False,0,0,0,unknown,0.0,0.0,IDLE,235.3615545272827
2,0.08,0.9058411717414856,32.099900010507554,234.55795288085938,238.4003143310547,3.8423614501953125,2.440335836791992,116.64900970458984,0.3920497000217438,False,29.52845573425293,True,0,0,0,unknown,0.0,0.0,IDLE,305.041979598999
3,0.12,0.8996191620826721,29.985100030899048,233.13140869140625,237.0830841064453,3.9516754150390625,2.5191880966186524,116.98209381103516,0.6781367659568787,False,32.08116912841797,True,0,0,0,unknown,0.0,0.0,IDLE,314.89851207733153
4,0.16,0.9016746282577515,35.779799974989146,233.41110229492188,236.3486785888672,2.9375762939453125,2.528740869140625,117.18558502197266,0.8293009996414185,False,31.866825103759766,True,0,0,0,unknown,0.0,0.0,IDLE,316.0926086425781
5,0.2,0.9006699919700623,28.59770000213757,233.17892456054688,235.8203887939453,2.6414642333984375,2.5305392074584963,117.21923828125,0.6953186392784119,False,31.74625015258789,True,0,0,0,unknown,0.0,0.0,IDLE,316.317400932312
6,0.24,0.8975354433059692,25.08489997126162,233.32449340820312,235.46383666992188,2.13934326171875,2.5045483978271483,117.22893524169922,0.6945714950561523,False,31.50016975402832,True,0,0,0,single,0.0,0.0,IDLE,313.0685497283935
7,0.28,0.8919756412506104,26.05540002696216,233.453125,235.21249389648438,1.759368896484375,2.5109363159179683,117.09536743164062,0.32088345289230347,False,31.530044555664062,True,0,0,0,single,0.0,0.0,IDLE,313.86703948974605
8,0.32,0.9002172350883484,29.22610001405701,233.7196044921875,235.04660034179688,1.326995849609375,2.5149778884887692,116.83382415771484,0.4069855213165283,False,31.621959686279297,True,0,0,0,single,0.0,0.0,IDLE,314.37223606109615
9,0.36,0.9084312319755554,36.92749998299405,234.2023162841797,234.96218872070312,0.7598724365234375,2.530743717956543,116.77466583251953,0.4303474426269531,False,30.35194206237793,True,0,0,0,single,0.0,0.0,IDLE,316.34296474456784
