frame_idx,timestamp,conf,person_h,kpt0_x,kpt0_y,kpt1_x,kpt1_y,kpt2_x,kpt2_y,kpt3_x,kpt3_y,kpt4_x,kpt4_y,kpt5_x,kpt5_y,kpt6_x,kpt6_y,kpt7_x,kpt7_y,kpt8_x,kpt8_y,kpt9_x,kpt9_y,kpt10_x,kpt10_y,kpt11_x,kpt11_y,kpt12_x,kpt12_y,kpt13_x,kpt13_y,kpt14_x,kpt14_y,kpt15_x,kpt15_y,kpt16_x,kpt16_y
0,0.0,0.8033900856971741,276.82306587696075,147.24560546875,152.04396057128906,151.43186950683594,146.03884887695312,142.7869873046875,143.90457153320312,165.6417236328125,136.5550079345703,139.2346954345703,133.32806396484375,177.82687377929688,156.60130310058594,130.08306884765625,157.52902221679688,191.44371032714844,194.44662475585938,110.84273529052734,189.75221252441406,201.17202758789062,220.52281188964844,91.9478988647461,212.54367065429688,164.7092742919922,241.0498046875,136.57102966308594,234.66419982910156,158.94410705566406,293.3035583496094,130.07215881347656,288.73773193359375,140.19692993164062,343.95635986328125,120.00696563720703,344.5032958984375
1,0.03333333333333333,0.7883152961730957,286.75789564847946,148.51939392089844,151.3286590576172,152.74049377441406,144.85887145996094,143.65721130371094,143.17820739746094,165.80857849121094,134.9710235595703,138.60089111328125,132.50059509277344,177.77316284179688,156.1873779296875,129.34681701660156,157.36859130859375,191.20242309570312,194.55673217773438,111.31696319580078,188.7588653564453,201.28652954101562,221.23973083496094,91.10363006591797,211.9894561767578,165.55650329589844,239.8046875,136.8130340576172,234.5414581298828,158.8119354248047,290.1210632324219,129.3152313232422,291.2767333984375,144.0742645263672,345.4407958984375,121.25599670410156,350.8930358886719
2,0.06666666666666667,0.7543421387672424,284.3910151720047,149.69642639160156,150.2059326171875,153.5293731689453,143.36151123046875,144.68589782714844,142.6087188720703,165.7764434814453,132.9510040283203,139.28318786621094,132.3453826904297,177.4610595703125,155.4009246826172,129.62246704101562,156.35313415527344,190.52781677246094,194.97314453125,110.95024108886719,187.88426208496094,200.40452575683594,219.43572998046875,91.2795181274414,212.22494506835938,165.3053741455078,239.43447875976562,136.48915100097656,234.22305297851562,162.1779327392578,289.0636291503906,128.25340270996094,291.2722473144531,147.52467346191406,345.6434631347656,121.61193084716797,352.47845458984375
3,0.1,0.783944845199585,287.20794397592545,149.46646118164062,149.2847137451172,153.31155395507812,142.49893188476562,144.42245483398438,141.90371704101562,166.10926818847656,132.2924346923828,139.37619018554688,131.99607849121094,177.65431213378906,156.0289764404297,130.110107421875,156.1258544921875,190.50067138671875,195.53785705566406,110.24853515625,187.48336791992188,200.3914031982422,218.2978973388672,90.247314453125,212.6435089111328,165.4103240966797,239.70372009277344,136.8209686279297,234.14016723632812,160.13650512695312,287.1048889160156,127.1837387084961,287.72784423828125,146.09474182128906,341.88134765625,125.428466796875,348.16046142578125
4,0.13333333333333333,0.7967663407325745,284.0477207303047,149.6579132080078,148.8345947265625,153.61717224121094,141.88368225097656,144.52828979492188,141.66146850585938,165.4261932373047,131.64718627929688,138.9245147705078,131.58607482910156,176.57786560058594,154.45208740234375,129.53904724121094,156.44232177734375,190.14048767089844,192.04417419433594,108.64134979248047,189.0238037109375,200.00399780273438,215.99240112304688,89.39407348632812,213.34091186523438,165.41807556152344,238.7178955078125,136.98756408691406,232.65281677246094,160.5481719970703,285.0460205078125,127.13086700439453,275.63653564453125,145.164306640625,341.8157958984375,128.6576385498047,341.9515686035156
5,0.16666666666666666,0.8203650712966919,283.5106523036957,149.4122772216797,148.15379333496094,153.26052856445312,140.803955078125,144.04388427734375,140.81185913085938,165.15777587890625,130.76568603515625,138.3893585205078,131.70205688476562,176.68064880371094,155.2550811767578,129.11578369140625,157.23138427734375,190.84048461914062,191.3905487060547,108.23367309570312,188.0619354248047,199.4590606689453,213.0010223388672,88.93629455566406,212.15301513671875,164.07864379882812,238.108642578125,136.08197021484375,232.89102172851562,153.56402587890625,285.29351806640625,126.97209930419922,283.03887939453125,142.0706787109375,343.8534240722656,125.08550262451172,344.1800537109375
6,0.2,0.8147966861724854,286.1688379049301,149.44898986816406,147.9044647216797,153.3140106201172,140.7098388671875,144.2482452392578,140.59898376464844,165.09765625,130.27947998046875,138.65167236328125,130.9027862548828,176.6374053955078,154.7766876220703,129.1201629638672,156.72727966308594,191.45718383789062,191.31146240234375,107.84390258789062,188.06715393066406,200.4308319091797,213.0475311279297,89.10357666015625,211.598876953125,163.7615966796875,238.09510803222656,135.80516052246094,232.63853454589844,155.163330078125,285.6029357910156,127.1858901977539,281.5866394042969,143.10513305664062,343.1348571777344,125.0072021484375,344.576416015625
7,0.23333333333333334,0.8150173425674438,285.3946630358696,149.1577606201172,145.42880249023438,153.11460876464844,138.16761779785156,144.03256225585938,137.8307647705078,165.18641662597656,129.08346557617188,138.80296325683594,129.03289794921875,176.4173126220703,153.87527465820312,129.3850860595703,156.03179931640625,191.21142578125,190.52786254882812,107.95494079589844,186.37704467773438,200.9093780517578,208.13648986816406,89.65211486816406,206.801513671875,163.3392333984375,236.3291015625,135.3927001953125,230.86480712890625,155.91812133789062,283.9300231933594,127.21373748779297,278.1293640136719,139.7882843017578,343.5247802734375,125.32151794433594,343.8290100097656
8,0.26666666666666666,0.7845239043235779,287.2219887971878,148.43881225585938,144.83631896972656,152.62750244140625,137.2670440673828,143.25650024414062,136.7946014404297,164.78335571289062,128.58883666992188,137.95889282226562,128.37982177734375,176.21417236328125,153.85609436035156,128.87945556640625,155.4591827392578,193.37893676757812,190.20457458496094,107.12600708007812,183.42218017578125,202.3140869140625,203.90647888183594,90.21967315673828,200.74029541015625,164.21205139160156,236.25546264648438,136.12322998046875,231.4210662841797,156.00587463378906,282.60186767578125,127.65917205810547,282.6335754394531,139.75515747070312,340.9794006347656,125.92742156982422,344.260986328125
9,0.3,0.791056752204895,291.4078150987625,148.3841094970703,144.482421875,152.25982666015625,136.98007202148438,143.25448608398438,136.55722045898438,164.57655334472656,128.20660400390625,138.22030639648438,127.63478088378906,176.2578887939453,153.5475311279297,128.86761474609375,154.70639038085938,195.20098876953125,190.12075805664062,106.09395599365234,181.65306091308594,204.49012756347656,198.10977172851562,87.63581085205078,194.49497985839844,165.71981811523438,238.3345184326172,136.00714111328125,232.6909637451172,165.590576171875,283.3728332519531,125.89102172851562,277.9699401855469,149.5637664794922,346.52392578125,126.92341613769531,349.3752746582031
10,0.3333333333333333,0.8101267218589783,286.8014508485794,147.6114501953125,145.0614471435547,151.62892150878906,137.579833984375,142.36721801757812,137.1875762939453,164.3757781982422,128.9063720703125,137.6084747314453,129.09622192382812,175.88491821289062,153.8984832763672,128.40292358398438,155.43878173828125,195.93655395507812,186.27734375,105.77523803710938,178.60552978515625,204.98670959472656,191.31976318359375,88.08590698242188,188.27102661132812,164.60533142089844,236.896728515625,136.34901428222656,233.1766815185547,158.50733947753906,281.7074890136719,127.22431945800781,288.45361328125,142.242919921875,343.3751525878906,127.95642852783203,343.59613037109375
