frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,0.9126165509223938,44.12989999991623,186.40249633789062,91.54275512695312,0.0,False,16.60299301147461,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,0.9138656258583069,37.52559999975347,186.92831420898438,92.65554809570312,1.2125576734542847,False,18.318096160888672,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,0.902249276638031,37.6048000002811,188.07476806640625,95.2633285522461,2.608638286590576,False,16.463403701782227,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,0.8727385401725769,34.978099999989354,190.3017578125,98.03228759765625,2.795774459838867,False,15.693073272705078,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,0.8979005217552185,42.22700000036639,191.45693969726562,98.01541137695312,0.28321048617362976,False,16.040245056152344,False,0,0,0,single,0.0,0.0,IDLE
5,0.2,0.541941225528717,34.31200000022727,188.33749389648438,95.62883758544922,2.386794328689575,False,16.666410446166992,False,0,0,0,single,0.0,0.0,IDLE
6,0.24,0.9026598334312439,45.26829999986148,182.00787353515625,88.25665283203125,7.373111724853516,False,17.66360092163086,False,0,0,0,single,0.0,0.0,IDLE
7,0.28,0.913729190826416,37.22990000005666,178.3494415283203,84.34764862060547,3.9093527793884277,False,17.574766159057617,True,0,0,0,single,0.0,0.0,IDLE
8,0.32,0.9116765260696411,39.46109999969849,174.6358642578125,80.42742156982422,3.9231629371643066,False,18.63766860961914,True,0,0,0,single,0.0,0.0,IDLE
9,0.36,0.9220995903015137,37.64150000006339,172.07489013671875,77.34487915039062,3.092344045639038,False,16.354734420776367,True,0,0,0,single,0.0,0.0,IDLE
10,0.4,0.9212352633476257,40.95920000008846,170.64552307128906,75.6823959350586,1.6843054294586182,False,15.017959594726562,True,0,0,0,single,0.0,0.0,IDLE
11,0.44,0.9208847880363464,38.164900000083435,170.4423065185547,75.10895538330078,0.5866668820381165,False,14.274237632751465,True,0,0,0,double,0.0,0.0,IDLE
12,0.48,0.9171540141105652,78.17260000001625,172.44091796875,77.567626953125,2.4587812423706055,False,14.840929985046387,True,0,0,0,double,0.0,0.0,IDLE
13,0.52,0.8981244564056396,71.29399999985253,176.43243408203125,81.24431610107422,3.6769492626190186,False,15.103967666625977,True,0,0,0,double,0.0,0.0,IDLE
14,0.56,0.843804121017456,49.80940000041301,180.00265502929688,86.66951751708984,5.426265716552734,False,15.08008098602295,True,0,0,0,double,0.0,0.0,IDLE
15,0.6,0.9110177159309387,36.2913999997545,184.61862182617188,91.37151336669922,4.703382968902588,False,15.057891845703125,False,1,0,1,double,0.0,0.0,JUMPING
16,0.64,0.8929630517959595,35.058699999808596,187.5906982421875,93.34237670898438,1.9723212718963623,False,15.086145401000977,False,1,0,1,double,0.0,0.0,JUMPING
17,0.68,0.8882005214691162,34.30950000029043,185.9274139404297,91.55611419677734,1.788270354270935,False,14.571810722351074,False,1,0,1,double,0.0,0.0,JUMPING
