frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2,track_cx,track_cy
0,0.0,1,0.8401408195495605,38.20756101049483,0,0.0,IDLE,,,,,,,,,877.7020874023438,,647.0677490234375,False,1883,452,2175,1313,2033.001953125,877.7020874023438
0,0.0,2,0.8137312531471252,38.20756101049483,0,0.0,IDLE,,,,,,,,,851.5135498046875,,605.2819213867188,False,1045,393,1477,1312,1248.2749633789062,851.5135803222656
0,0.0,3,0.7373167276382446,38.20756101049483,0,0.0,IDLE,,,,,,,,,850.9874267578125,,625.7205810546875,False,419,344,684,1297,527.4840698242188,850.9874267578125
1,0.04,1,0.8452507853507996,31.857556896284223,0,0.0,IDLE,,,,,,,,,880.6635131835938,,647.5042114257812,False,1883,453,2176,1317,2028.59130859375,880.6636962890625
1,0.04,3,0.7627187967300415,31.857556896284223,0,0.0,IDLE,,,,,,,,,852.9989013671875,,626.9636840820312,False,415,345,686,1304,530.2721252441406,852.9989929199219
1,0.04,2,0.8400301933288574,31.857556896284223,0,0.0,IDLE,,,,,,,,,858.6993408203125,,607.095947265625,False,1038,401,1480,1314,1246.928955078125,858.6997375488281
2,0.08,1,0.8413348197937012,27.52690203487873,0,0.0,IDLE,,,,,,,,,877.3025512695312,,646.5537109375,False,1885,452,2174,1318,2027.9381103515625,877.3013916015625
2,0.08,2,0.8084725737571716,27.52690203487873,0,0.0,IDLE,,,,,,,,,858.7846069335938,,611.330810546875,False,1044,416,1478,1309,1248.2903442382812,858.7837829589844
2,0.08,3,0.7687619924545288,27.52690203487873,0,0.0,IDLE,,,,,,,,,851.7376708984375,,625.783203125,False,421,343,681,1299,529.0633697509766,851.7371215820312
3,0.12,2,0.8182867169380188,28.29843107610941,0,0.0,IDLE,,,,,,,,,858.0720825195312,,612.87841796875,False,1045,419,1476,1308,1248.8429565429688,857.916015625
3,0.12,3,0.7038312554359436,28.29843107610941,0,0.0,IDLE,,,,,,,,,849.5709228515625,,625.4766845703125,False,420,341,684,1301,527.2410278320312,849.3939514160156
3,0.12,1,0.8424466848373413,28.29843107610941,0,0.0,IDLE,,,,,,,,,878.4083251953125,,647.6031494140625,False,1889,452,2176,1317,2029.6921997070312,879.2802124023438
4,0.16,1,0.8460314869880676,27.757920091971755,0,0.0,IDLE,,,,,,,,,877.6248779296875,,647.750732421875,False,1888,452,2173,1317,2033.1495971679688,877.5801086425781
