frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,dt,expected_dt,miss_fix_applied,added_extra_count,hip_amp,shoulder_amp,shoulder_amp_th,shoulder_noise_sigma,shoulder_amp_ewma,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0.0,1,0.8401408195495605,38.57793100178242,0,0.0,IDLE,,,False,0,,,,,,,,,,877.7020874023438,,647.0677490234375,False,1883,452,2175,1313
0,0.0,2,0.8137312531471252,38.57793100178242,0,0.0,IDLE,,,False,0,,,,,,,,,,851.5135498046875,,605.2819213867188,False,1045,393,1477,1312
0,0.0,3,0.7373167276382446,38.57793100178242,0,0.0,IDLE,,,False,0,,,,,,,,,,850.9874267578125,,625.7205810546875,False,419,344,684,1297
1,0.04,1,0.8452507853507996,32.40499901585281,0,0.0,IDLE,,,False,0,,,,,,,,,,880.6635131835938,,647.5042114257812,False,1883,453,2176,1317
1,0.04,3,0.7627187967300415,32.40499901585281,0,0.0,IDLE,,,False,0,,,,,,,,,,852.9989013671875,,626.9636840820312,False,415,345,686,1304
1,0.04,2,0.8400301933288574,32.40499901585281,0,0.0,IDLE,,,False,0,,,,,,,,,,858.6993408203125,,607.095947265625,False,1038,401,1480,1314
2,0.08,1,0.8413348197937012,28.079085052013397,0,0.0,IDLE,,,False,0,,,,,,,,,,877.3025512695312,,646.5537109375,False,1885,452,2174,1318
2,0.08,2,0.8084725737571716,28.079085052013397,0,0.0,IDLE,,,False,0,,,,,,,,,,858.7846069335938,,611.330810546875,False,1044,416,1478,1309
2,0.08,3,0.7687619924545288,28.079085052013397,0,0.0,IDLE,,,False,0,,,,,,,,,,851.7376708984375,,625.783203125,False,421,343,681,1299
3,0.12,2,0.8182867169380188,28.79376499913633,0,0.0,IDLE,,,False,0,,,,,,,,,,858.0720825195312,,612.87841796875,False,1045,419,1476,1308
3,0.12,3,0.7038312554359436,28.79376499913633,0,0.0,IDLE,,,False,0,,,,,,,,,,849.5709228515625,,625.4766845703125,False,420,341,684,1301
3,0.12,1,0.8424466848373413,28.79376499913633,0,0.0,IDLE,,,False,0,,,,,,,,,,878.4083251953125,,647.6031494140625,False,1889,452,2176,1317
4,0.16,1,0.8460314869880676,30.140252085402608,0,0.0,IDLE,,,False,0,,,,,,,,,,877.6248779296875,,647.750732421875,False,1888,452,2173,1317
4,0.16,3,0.7207552790641785,30.140252085402608,0,0.0,IDLE,,,False,0,,,,,,,,,,849.0709838867188,,625.1068115234375,False,417,336,685,1300
4,0.16,2,0.8267645239830017,30.140252085402608,0,0.0,IDLE,,,False,0,,,,,,,,,,859.0703125,,613.3221435546875,False,1053,424,1482,1308
5,0.2,3,0.7542015314102173,28.133649146184325,0,0.0,IDLE,,,False,0,,,,,,,,,,849.7697143554688,,625.032470703125,False,419,339,686,1298
5,0.2,1,0.8467559814453125,28.133649146184325,0,0.0,IDLE,,,False,0,,,,,,,,,,875.6530151367188,,647.4346923828125,False,1891,454,2175,1312
5,0.2,2,0.8290997743606567,28.133649146184325,0,0.0,IDLE,,,False,0,,,,,,,,,,857.472412109375,,612.8353881835938,False,1058,428,1487,1303
6,0.24,3,0.7437994480133057,27.740870136767626,0,0.0,IDLE,,,False,0,,,,,,,,,,848.6148681640625,,624.1839599609375,False,420,344,685,1299
6,0.24,2,0.8496213555335999,27.740870136767626,0,0.0,IDLE,,,False,0,,,,,,,,,,857.0187377929688,,613.9876708984375,False,1061,430,1492,1307
6,0.24,1,0.8613002300262451,27.740870136767626,0,0.0,IDLE,,,False,0,,,,,,,,,,874.4886474609375,,647.0931396484375,False,1895,457,2177,1313
7,0.28,3,0.7351123094558716,30.93424206599593,0,0.0,IDLE,,,False,0,,,,,,,,,,848.7459716796875,,624.5980224609375,False,421,340,684,1299
7,0.28,1,0.8453980088233948,30.93424206599593,0,0.0,IDLE,,,False,0,,,,,,,,,,873.937744140625,,646.7569580078125,False,1893,453,2177,1312
7,0.28,2,0.8341569304466248,30.93424206599593,0,0.0,IDLE,,,False,0,,,,,,,,,,855.671630859375,,614.760498046875,False,1058,432,1500,1305
8,0.32,1,0.8516814708709717,29.01733689941466,0,0.0,IDLE,,,False,0,,,,,,,,,,874.101318359375,,646.4243774414062,False,1892,452,2176,1312
8,0.32,3,0.7548142075538635,29.01733689941466,0,0.0,IDLE,,,False,0,,,,,,,,,,847.7999267578125,,624.130615234375,False,418,335,683,1292
8,0.32,2,0.6362525224685669,29.01733689941466,0,0.0,IDLE,,,False,0,,,,,,,,,,854.2866821289062,,616.708251953125,False,1040,429,1506,1304
9,0.36,1,0.8095344305038452,28.322915080934763,0,0.0,IDLE,,,False,0,,,27.402534942626954,0.7016198181152343,,,8.716971313476563,2.9056571044921875,878.6338500976562,874.077392578125,647.617919921875,646.2513427734375,False,1892,453,2175,1310
9,0.36,3,0.7342715859413147,28.322915080934763,0,0.0,IDLE,,,False,0,,,30.743090744018556,1.0115052978515624,,,9.607215857505798,1.6509127441406248,851.86376953125,847.2484741210938,625.9012451171875,623.9785766601562,False,420,335,684,1296
9,0.36,2,0.8510892391204834,28.322915080934763,0,0.0,IDLE,,,False,0,,,27.55764129638672,1.4270839416503907,,,8.61176290512085,1.9454600463867187,858.8131713867188,854.2137451171875,616.8431396484375,618.0570068359375,False,1043,431,1524,1292
10,0.4,1,0.8563790321350098,27.981535997241735,0,0.0,IDLE,,,False,0,,,27.592673950195312,0.7621128662109374,,,8.622710609436036,2.445602270507812,878.4083251953125,874.97607421875,647.6031494140625,646.214599609375,False,1894,455,2176,1317
10,0.4,2,0.8373382687568665,27.981535997241735,0,0.0,IDLE,,,False,0,,,27.705699920654297,2.2493731384277345,,,8.658031225204468,2.3076491638183594,858.7846069335938,855.1744384765625,618.0570068359375,619.216064453125,False,1041,431,1532,1297
10,0.4,3,0.748471736907959,27.981535997241735,0,0.0,IDLE,,,False,0,,,30.803157119750978,1.0201924072265625,,,9.62598659992218,1.0359377929687499,851.7376708984375,848.9520263671875,625.783203125,624.4014282226562,False,411,334,685,1297
11,0.44,1,0.8528661727905273,27.414684183895588,0,0.0,IDLE,,,False,0,,,27.420416564941405,0.748946466064453,,,8.568880176544189,1.9377683349609374,878.3377075195312,874.8658447265625,647.59326171875,646.620361328125,False,1892,454,2175,1310
11,0.44,3,0.7441452145576477,27.414684183895588,0,0.0,IDLE,,,False,0,,,30.765350418090822,0.9636357055664062,,,9.614172005653382,1.1482367797851563,851.6626586914062,850.163818359375,625.7769165039062,624.1767578125,False,418,335,685,1297
11,0.44,2,0.8105661273002625,27.414684183895588,0,0.0,IDLE,,,False,0,,,27.497934722900393,3.6970889648437497,,,8.593104600906372,2.618077587890625,858.7760620117188,855.1246337890625,619.08740234375,619.201904296875,False,1045,430,1537,1289
12,0.48,1,0.841615617275238,28.895187890157104,0,0.0,IDLE,,,False,0,,,27.311235809326174,0.7621128662109374,,,8.534761190414429,2.3360180053710935,878.26708984375,876.4479370117188,647.72119140625,647.7802124023438,False,1886,455,2174,1309
12,0.48,2,0.8075268864631653,28.895187890157104,0,0.0,IDLE,,,False,0,,,27.809983520507814,3.3029113769531246,,,8.690619850158692,2.184943743896484,858.767578125,855.503662109375,619.2132568359375,620.0238037109375,False,1043,431,1543,1300
12,0.48,3,0.7515053153038025,28.895187890157104,0,0.0,IDLE,,,False,0,,,30.86337043762207,0.7543306640624999,,,9.644803261756897,1.223072607421875,851.587646484375,850.0478515625,625.7706909179688,623.4853515625,False,410,335,685,1299
13,0.52,1,0.8407884836196899,27.972035109996796,0,0.0,IDLE,,,False,0,,,27.3688330078125,0.7779487426757812,,,8.552760314941407,2.324887646484375,878.1964721679688,877.09814453125,647.7713623046875,648.2247314453125,False,1886,455,2174,1311
13,0.52,2,0.8319206833839417,27.972035109996796,0,0.0,IDLE,,,False,0,,,27.791939849853517,2.303486590576172,,,8.684981203079223,2.4916620483398435,858.759033203125,858.1179809570312,619.781494140625,620.3424682617188,False,1038,434,1552,1302
13,0.52,3,0.7707090973854065,27.972035109996796,0,0.0,IDLE,,,False,0,,,30.616528244018554,0.8449118774414062,,,9.567665076255798,1.2176431640624998,851.5125732421875,849.853515625,625.764404296875,623.2542724609375,False,396,341,685,1298
14,0.56,2,0.8274644613265991,28.025062987580895,0,0.0,IDLE,,,False,0,,,27.846859130859375,1.6942125549316405,,,8.702143478393555,2.4580899902343747,858.9560546875,859.1388549804688,620.2150268554688,620.4921264648438,False,1040,432,1549,1303
