frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,157.58006286621094,97.14581298828125,0.0,False,2.0014283657073975,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,157.95086669921875,97.08377838134766,0.10949375480413437,False,2.5674333572387695,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,153.81015014648438,93.59217071533203,3.5023624897003174,False,3.054713487625122,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,154.13690185546875,92.91102600097656,0.6895063519477844,False,2.1319966316223145,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,154.4283447265625,93.04236602783203,0.2064519077539444,False,2.0134084224700928,False,0,0,0,double,0.0,0.0,IDLE
5,0.2,154.94847106933594,94.14256286621094,1.2086575031280518,False,3.2609479427337646,False,0,0,0,double,0.0,0.0,IDLE
6,0.24,156.38687133789062,96.21749114990234,2.0752992630004883,False,2.233968734741211,False,0,0,0,double,0.0,0.0,IDLE
7,0.28,157.3699951171875,97.25099182128906,1.0447531938552856,False,2.1955182552337646,False,0,0,0,double,0.0,0.0,IDLE
8,0.32,159.9939422607422,100.25619506835938,3.0052947998046875,False,3.6191110610961914,False,0,0,0,double,0.0,0.0,IDLE
9,0.36,161.29141235351562,103.12310791015625,2.878319501876831,False,3.9419045448303223,False,0,0,0,double,0.0,0.0,IDLE
10,0.4,162.27398681640625,104.55867004394531,1.4411660432815552,False,4.023882865905762,False,0,0,0,double,0.0,0.0,IDLE
11,0.44,161.4620361328125,103.12335968017578,1.4580118656158447,False,5.412552833557129,False,0,0,0,double,0.0,0.0,IDLE
12,0.48,160.6173095703125,100.28025817871094,2.8631582260131836,False,3.7625460624694824,False,0,0,0,double,0.0,0.0,IDLE
13,0.52,159.52407836914062,97.51244354248047,2.7684717178344727,False,3.038815498352051,False,0,0,0,double,0.0,0.0,IDLE
14,0.56,156.8114013671875,95.29405212402344,2.2184598445892334,False,2.723801851272583,False,0,0,0,double,0.0,0.0,IDLE
