frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,ankle_distance,is_airborne
0,0.0,0.912912130355835,17.65026105567813,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,248.38607788085938,,143.78244018554688,30.9693546295166,False
1,0.03333333333333333,0.9061897993087769,14.11630492657423,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,246.61135864257812,,143.2838592529297,31.22117042541504,False
2,0.06666666666666667,0.9116107225418091,12.185250874608755,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,248.18289184570312,,143.76126098632812,30.95267677307129,False
3,0.1,0.9043274521827698,11.163609102368355,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,247.5301513671875,,143.60369873046875,30.31583023071289,False
4,0.13333333333333333,0.9141824245452881,13.082408346235752,0,0,0,single,0.0,IDLE,False,,,,,,,,,247.76150512695312,,142.77981567382812,29.14652442932129,False
5,0.16666666666666666,0.9157147407531738,11.058639734983444,0,0,0,single,0.0,IDLE,False,,,,,,,,,247.99649047851562,,142.4835968017578,29.685691833496094,False
6,0.2,0.908487856388092,13.168501202017069,0,0,0,single,0.0,IDLE,False,,,,,,,,,246.19964599609375,,142.13619995117188,29.681385040283203,False
7,0.23333333333333334,0.9246099591255188,12.906156945973635,0,0,0,single,0.0,IDLE,False,,,,,,,,,244.27218627929688,,142.16131591796875,29.387670516967773,False
8,0.26666666666666666,0.9170362949371338,15.214922372251749,0,0,0,single,0.0,IDLE,False,,,,,,,,,243.63694763183594,,142.2416534423828,30.702566146850586,False
9,0.3,0.9115172028541565,11.42059313133359,0,0,0,single,0.0,IDLE,False,,,,,,4.532024240112305,1.5106747467041015,248.20321655273438,245.02581787109375,143.7633819580078,142.01458740234375,33.649234771728516,False
10,0.3333333333333333,0.908817708492279,15.043880324810743,0,0,0,single,0.0,IDLE,False,,,,,,6.160789379882813,2.0535964599609375,248.18289184570312,245.7642364501953,143.76126098632812,141.99966430664062,34.525543212890625,False
11,0.36666666666666664,0.9127906560897827,12.89937598630786,0,0,0,single,0.0,IDLE,False,,,,,,6.10859885559082,2.0361996185302735,248.16424560546875,245.03839111328125,143.74549865722656,141.80035400390625,34.968955993652344,False
12,0.4,0.9027737975120544,12.136754114180803,0,0,0,single,0.0,IDLE,False,,,,,,5.91782178955078,1.9726072631835936,248.14561462402344,244.9029083251953,143.72975158691406,141.97137451171875,33.181907653808594,False
13,0.43333333333333335,0.8956311345100403,11.594133917242289,0,0,0,single,0.0,IDLE,False,,,,,,5.842725801086425,1.9475752670288085,248.12696838378906,246.246337890625,143.7139892578125,141.99105834960938,32.05220413208008,False
14,0.4666666666666667,0.9042341709136963,12.437146157026291,0,0,0,single,0.0,IDLE,False,,,,,,5.710145581054688,1.9033818603515624,248.10833740234375,246.48471069335938,143.6982421875,142.1538848876953,32.31654739379883,False
15,0.5,0.9075688719749451,11.524525936692953,0,0,0,single,0.0,IDLE,False,,,,,,5.842725801086425,1.9475752670288085,248.08969116210938,244.61474609375,143.68247985839844,142.583984375,32.777122497558594,False
16,0.5333333333333333,0.9071387648582458,12.294140178710222,0,0,0,single,0.0,IDLE,False,,,,,,5.91782178955078,1.9726072631835936,248.071044921875,243.90093994140625,143.66671752929688,142.78036499023438,32.808475494384766,False
17,0.5666666666666667,0.9031554460525513,11.35013997554779,0,0,0,single,0.0,IDLE,False,,,,,,6.483569787597656,2.1611899291992187,248.0524139404297,242.51925659179688,143.67811584472656,143.64248657226562,33.11359405517578,False
18,0.6,0.9077625274658203,12.301189824938774,0,0,0,single,0.0,IDLE,False,,,,,,6.63634075012207,2.2121135833740233,248.0337677001953,243.42333984375,143.7655029296875,144.17185974121094,34.51995849609375,False
19,0.6333333333333333,0.9077659845352173,11.379978153854609,0,0,0,single,0.0,IDLE,False,,,,,,6.027700149536133,2.009233383178711,248.01513671875,243.40904235839844,143.82138061523438,145.35975646972656,35.44472122192383,False
20,0.6666666666666666,0.9193801879882812,12.49780599027872,0,0,0,single,0.0,IDLE,False,,,,,,6.432940228271484,2.144313409423828,247.99649047851562,243.18081665039062,144.17185974121094,144.88414001464844,35.93302917480469,False
