frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.8660051822662354,68.74050000624266,212.31021118164062,89.63226318359375,0.0,False,16.171329498291016,False,0,0,0,unknown,0.0,0.0,IDLE,,258.9977546691894
1,0.04,0.8975617289543152,62.890300003346056,214.49588012695312,92.2112808227539,2.7107560634613037,False,18.92877960205078,False,0,0,0,unknown,0.0,0.0,IDLE,,256.69894790649414
2,0.08,0.8537442088127136,53.50709999038372,216.46560668945312,96.8733901977539,4.69429874420166,False,18.747461318969727,False,0,0,0,unknown,0.0,0.0,IDLE,,245.66229248046872
3,0.12,0.8930765986442566,54.0469999978086,218.34100341796875,99.81533813476562,3.2615795135498047,False,19.038021087646484,False,0,0,0,unknown,0.0,0.0,IDLE,,238.80097618103025
4,0.16,0.9079685807228088,72.77660000545438,222.351318359375,101.52547454833984,1.78021240234375,False,20.98465919494629,False,0,0,0,double,0.0,0.0,IDLE,,240.9725101470947
5,0.2,0.9161052107810974,57.32269999862183,219.7025146484375,100.98257446289062,0.5870572328567505,False,23.042207717895508,False,0,0,0,double,0.0,0.0,IDLE,,252.16903305053708
6,0.24,0.8940244913101196,78.16430000821128,217.02981567382812,98.17437744140625,2.809438943862915,False,25.186508178710938,False,0,0,0,double,0.0,0.0,IDLE,,252.33405075073242
7,0.28,0.8808150291442871,69.60419999086298,213.31423950195312,93.93009185791016,4.254161834716797,False,25.91429901123047,False,0,0,0,double,0.0,0.0,IDLE,,259.4965454101562
8,0.32,0.8968814015388489,63.13140000565909,208.07350158691406,90.2928237915039,3.7453529834747314,False,23.210302352905273,False,0,0,0,double,0.0,0.0,IDLE,,259.388101196289
9,0.36,0.8866330981254578,61.869700002716854,203.71670532226562,88.0560302734375,2.413774013519287,False,22.810588836669922,True,0,0,0,double,0.0,0.0,IDLE,308.57324264526363,255.23859214782712
10,0.4,0.8976522088050842,72.22709999768995,201.12551879882812,87.21163940429688,1.2208256721496582,False,23.37338638305664,True,0,0,0,double,0.0,0.0,IDLE,308.22221221923826,260.9713428497314
11,0.44,0.8890087008476257,62.910199994803406,201.5098419189453,87.43929290771484,1.078999638557434,False,24.198030471801758,True,0,0,0,double,0.0,0.0,IDLE,307.9236967468261,264.6112869262695
12,0.48,0.9158098101615906,77.02620000054594,205.60289001464844,89.93050384521484,2.6424169540405273,False,24.401256561279297,True,0,0,0,double,0.0,0.0,IDLE,307.62518127441405,259.2873428344726
13,0.52,0.9014414548873901,67.92940000013914,207.7796173095703,93.64228057861328,3.803234815597534,False,23.734384536743164,True,0,0,0,double,0.0,0.0,IDLE,307.55003845214844,256.09929351806636
14,0.56,0.9051425457000732,118.74350000289269,210.93048095703125,97.17849731445312,3.617274045944214,False,23.084274291992188,False,1,0,1,double,0.0,0.0,JUMPING,307.9697473144531,254.13352279663084
15,0.6,0.9076257944107056,117.44220000400674,213.69058227539062,98.96771240234375,1.857387661933899,False,23.29228401184082,False,1,0,1,double,0.0,0.0,JUMPING,308.244310760498,254.61488876342773
16,0.64,0.9127280712127686,109.74410000198986,214.45181274414062,97.79317474365234,1.1858890056610107,False,23.598154067993164,False,1,0,1,double,0.0,0.0,JUMPING,308.30322631835935,256.1818199157715
17,0.68,0.9143484830856323,101.42180000548251,213.00704956054688,94.14156341552734,3.6741931438446045,False,25.08993148803711,False,1,0,1,double,0.0,0.0,JUMPING,308.2937702941894,258.41247177124023
18,0.72,0.8704996109008789,60.68039999809116,210.06982421875,89.96154022216797,4.1891984939575195,False,24.617053985595703,True,1,0,1,double,0.0,0.0,JUMPING,308.2732272338867,261.9111663818359
19,0.76,0.8916301131248474,44.20019999088254,206.5845489501953,86.22512817382812,3.75213885307312,False,22.018810272216797,True,1,0,1,double,0.0,0.0,JUMPING,308.252684173584,259.3499000549316
20,0.8,0.8921723961830139,201.85599999967963,204.95901489257812,83.8449478149414,2.380882740020752,False,21.02057456970215,True,1,0,1,double,0.0,0.0,JUMPING,308.2321411132812,258.8936798095703
21,0.84,0.8709628582000732,69.7189999918919,206.730224609375,83.27969360351562,0.6467552781105042,False,21.306133270263672,True,1,0,1,double,0.0,0.0,JUMPING,308.1288937377929,259.8411277770996
22,0.88,0.8560271859169006,59.85960000543855,209.07594299316406,85.16146850585938,1.9114011526107788,False,21.898038864135742,True,1,0,1,double,0.0,0.0,JUMPING,308.02564636230466,259.8899978637695
23,0.92,0.8631523847579956,41.53930000029504,212.33580017089844,89.08819580078125,3.952908515930176,False,22.048633575439453,True,1,0,1,double,0.0,0.0,JUMPING,307.9223989868164,256.3829681396484
24,0.96,0.8735002279281616,52.58279999543447,216.89578247070312,93.04962158203125,3.977160930633545,False,23.025104522705078,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,308.01305786132815,252.67683448791502
25,1.0,0.8926721811294556,43.752400000812486,223.07546997070312,96.65082550048828,3.6072237491607666,False,23.147737503051758,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,308.3293128967285,251.29861907958983
26,1.04,0.9067646861076355,63.880999994580634,222.80548095703125,98.2149887084961,1.5649311542510986,False,21.42951011657715,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,308.71897766113284,255.2184211730957
27,1.08,0.9058123826980591,47.69529998884536,220.53460693359375,96.17137908935547,2.0437371730804443,False,22.089941024780273,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,309.5374325561523,254.49307327270506
28,1.12,0.903085470199585,59.14389999816194,216.976806640625,91.81356811523438,4.378169059753418,False,23.356849670410156,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,310.50367065429685,260.42565612792964
29,1.16,0.884111225605011,47.9442000068957,212.5097198486328,87.4091796875,4.410287857055664,False,23.959369659423828,False,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,310.64760787963866,262.13091506958006
30,1.2,0.8853749632835388,68.49520000105258,207.07098388671875,84.17752838134766,3.2695446014404297,False,22.007966995239258,True,2,0,2,double,2.500000149011621,150.00000894069726,JUMPING,310.55681304931636,256.58304595947266
