frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,0.8919734954833984,106.97690000006332,277.2983093261719,106.4737319946289,0.0,False,9.665461540222168,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,0.8994433879852295,57.1789999999055,275.04571533203125,111.20221710205078,4.731525421142578,False,4.562717437744141,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,0.8846190571784973,80.28120000017225,283.6004943847656,119.40765380859375,8.36560344696045,False,3.266244411468506,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,0.906267523765564,94.41689999994196,290.1263427734375,124.46265411376953,5.06321907043457,False,4.5947723388671875,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,0.9108693599700928,60.18279999989318,291.0308837890625,125.2431411743164,1.8414322137832642,False,6.8548407554626465,False,0,0,0,double,0.0,0.0,IDLE
5,0.2,0.9107930660247803,38.25200000028417,290.6459655761719,125.8592758178711,0.8423846960067749,False,8.566128730773926,False,0,0,0,double,0.0,0.0,IDLE
6,0.24,0.900922417640686,61.63479999986521,284.53045654296875,119.7802734375,6.211433410644531,False,7.085554122924805,False,0,0,0,double,0.0,0.0,IDLE
7,0.28,0.7161139249801636,41.61939999994502,274.02471923828125,108.72212982177734,11.092414855957031,False,10.779507637023926,True,0,0,0,double,0.0,0.0,IDLE
8,0.32,0.5818795561790466,51.028199999564094,258.355712890625,92.26583099365234,16.47103500366211,False,11.787909507751465,True,0,0,0,double,0.0,0.0,IDLE
9,0.36,0.8796975016593933,55.53660000032323,247.20558166503906,75.5972900390625,16.69053840637207,False,8.749956130981445,True,0,0,0,double,0.0,0.0,IDLE
10,0.4,0.9153321981430054,74.43770000008954,236.20394897460938,64.1430435180664,11.517107009887695,False,10.53780746459961,True,0,0,0,double,0.0,0.0,IDLE
11,0.44,0.9124318957328796,34.633300000223244,231.47459411621094,59.41542434692383,4.787751197814941,False,11.73604679107666,True,0,0,0,double,0.0,0.0,IDLE
12,0.48,0.9176694750785828,55.73739999999816,226.9266357421875,55.53889083862305,4.605327129364014,False,12.980175018310547,True,0,0,0,double,0.0,0.0,IDLE
13,0.52,0.8988295197486877,40.32179999967411,224.75424194335938,54.369293212890625,2.152289390563965,False,13.48967170715332,True,0,0,0,double,0.0,0.0,IDLE
14,0.56,0.8772270083427429,94.72999999979947,227.99290466308594,57.56304931640625,3.3321523666381836,False,12.518342018127441,True,0,0,0,double,0.0,0.0,IDLE
