frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,ankle_distance,is_airborne
0,0.0,0.9173417687416077,21.195651032030582,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,246.52877807617188,,151.83029174804688,31.89959716796875,False
1,0.04,0.9230532646179199,11.582174338400364,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,245.36856079101562,,151.16859436035156,30.86848258972168,False
2,0.08,0.9151507019996643,12.568654958158731,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,254.3282470703125,,160.1464080810547,34.259124755859375,False
3,0.12,0.9141852259635925,11.084777768701315,0,0,0,unknown,0.0,IDLE,False,,,,,,,,,262.1868896484375,,168.59597778320312,30.324499130249023,False
4,0.16,0.912295401096344,13.299217913299799,0,0,0,single,0.0,IDLE,False,,,,,,,,,264.14532470703125,,171.83856201171875,30.634624481201172,False
5,0.2,0.9250970482826233,12.55046995356679,0,0,0,single,0.0,IDLE,False,,,,,,,,,259.78179931640625,,168.36279296875,32.165714263916016,False
6,0.24,0.9409661293029785,12.573292944580317,0,0,0,single,0.0,IDLE,False,,,,,,,,,252.44534301757812,,161.3701171875,35.3863525390625,False
7,0.28,0.9417076110839844,11.141140945255756,0,0,0,single,0.0,IDLE,False,,,,,,,,,248.26617431640625,,157.2064208984375,36.217037200927734,False
8,0.32,0.6664438247680664,12.25749310106039,0,0,0,single,0.0,IDLE,False,,,,,,,,,242.82736206054688,,151.09506225585938,36.60943603515625,False
9,0.36,0.9283941984176636,11.255280114710331,0,0,0,single,0.0,IDLE,False,,,,,,26.312403106927878,9.277810189819336,262.3827209472656,237.491943359375,168.92022705078125,146.57736206054688,35.80374526977539,False
10,0.4,0.9326775670051575,12.372179888188839,0,0,0,single,0.0,IDLE,False,,,,,,25.927332401990892,8.987629064941405,262.1868896484375,235.357177734375,168.59597778320312,143.9549560546875,33.29734802246094,True
11,0.44,0.9151841402053833,11.42234168946743,0,0,0,single,0.0,IDLE,False,,,,,,26.190056019544603,12.480751940917967,261.9463806152344,234.69900512695312,168.57266235351562,142.77902221679688,32.9674072265625,True
12,0.48,0.914095401763916,12.469608802348375,0,0,0,single,0.0,IDLE,False,,,,,,25.886584859848025,13.398011151123047,261.70587158203125,234.2786102294922,168.54934692382812,142.55563354492188,32.97447967529297,True
