frame_idx,timestamp,best_conf,infer_ms,jump_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne
0,0.0,0.9152008295059204,17.386368941515684,0,unknown,0.0,IDLE,False,,,,,,,,,440.66705322265625,,277.58380126953125,False
1,0.001,0.9164679050445557,11.913424008525908,0,unknown,0.0,IDLE,False,,,,,,,,,439.4583740234375,,277.30718994140625,False
2,0.002,0.9143903255462646,12.973638018593192,0,unknown,0.0,IDLE,False,,,,,,,,,438.8849792480469,,276.98095703125,False
3,0.003,0.9163156747817993,11.76973304245621,0,unknown,0.0,IDLE,False,,,,,,,,,439.0972900390625,,277.015380859375,False
4,0.004,0.9149086475372314,11.53106801211834,0,unknown,0.0,IDLE,False,,,,,,,,,439.0576171875,,277.1168212890625,False
5,0.005,0.9163156747817993,12.367942952550948,0,unknown,0.0,IDLE,False,,,,,,,,,439.1500549316406,,277.0908203125,False
6,0.006,0.9149086475372314,12.191098066978157,0,unknown,0.0,IDLE,False,,,,,,,,,439.10552978515625,,277.1461181640625,False
7,0.007,0.9163156747817993,11.590005015023053,0,unknown,0.0,IDLE,False,,,,,,,,,439.17095947265625,,277.1149597167969,False
8,0.008,0.9149086475372314,12.927121948450804,0,unknown,0.0,IDLE,False,,,,,,,,,439.1273498535156,,277.1576232910156,False
9,0.009,0.9165141582489014,11.928542982786894,0,unknown,0.0,IDLE,False,,,,,,5.9923612613677975,0.054611151123046875,439.5792541503906,439.1219482421875,277.3348388671875,276.8134765625,False
10,0.01,0.9155287742614746,11.541950050741434,0,unknown,0.0,IDLE,False,,,,,,6.000813839435578,0.07266405029296874,439.4583740234375,439.01214599609375,277.30718994140625,276.8746337890625,False
11,0.011,0.9165141582489014,14.341727015562356,0,unknown,0.0,IDLE,False,,,,,,5.9923612613677975,0.08402063598632813,439.42962646484375,439.0490417480469,277.292236328125,276.6517639160156,False
12,0.012,0.9155287742614746,11.420810013078153,0,unknown,0.0,IDLE,False,,,,,,6.000813839435578,0.08374916381835937,439.40087890625,438.97174072265625,277.27728271484375,276.7956237792969,False
13,0.013,0.9165141582489014,11.366649996489286,0,unknown,0.0,IDLE,False,,,,,,5.9923612613677975,0.09037760925292969,439.3721618652344,439.0306701660156,277.2623291015625,276.62567138671875,False
14,0.014,0.9139864444732666,12.273920001462102,0,unknown,0.0,IDLE,False,,,,,,6.058942216396332,0.09877062377929686,439.3434143066406,438.98004150390625,277.24737548828125,276.7562255859375,False
15,0.015,0.9136353135108948,11.53256802354008,0,unknown,0.0,IDLE,False,,,,,,6.0107635045051575,0.10223189392089843,439.3146667480469,438.9166259765625,277.232421875,276.97308349609375,False
16,0.016,0.9139864444732666,11.391428066417575,0,unknown,0.0,IDLE,False,,,,,,6.058942216396332,0.11501370849609374,439.2859191894531,438.90875244140625,277.2174377441406,276.9872741699219,False
