frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,0.9081110954284668,78.06630000004589,185.66421508789062,121.19156646728516,0.0,False,18.439664840698242,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.04,0.9115429520606995,60.240499999963504,185.51002502441406,121.56484985351562,1.529007911682129,False,18.970258712768555,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.08,0.9207372069358826,78.69600000003629,185.83250427246094,121.71756744384766,0.8986685276031494,False,18.969331741333008,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.12,0.9231373071670532,69.24129999970319,185.31964111328125,121.3344955444336,0.6080482602119446,False,18.835643768310547,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.16,0.9217340350151062,60.005399999681686,185.40859985351562,121.4714584350586,0.19046419858932495,False,18.67064666748047,False,0,0,0,single,0.0,0.0,IDLE
5,0.2,0.9200125336647034,57.201699999950506,185.6369171142578,121.50638580322266,0.04977382719516754,False,18.72206687927246,False,0,0,0,single,0.0,0.0,IDLE
6,0.24,0.9174308776855469,67.54799999998795,185.66221618652344,121.1318130493164,0.6270174980163574,False,18.724090576171875,False,0,0,0,single,0.0,0.0,IDLE
7,0.28,0.9150013327598572,76.8553999996584,185.60235595703125,120.99420166015625,0.45334386825561523,False,18.80080223083496,False,0,0,0,single,0.0,0.0,IDLE
8,0.32,0.9250757694244385,57.01490000001286,186.04342651367188,121.4142074584961,0.47664883732795715,False,18.701974868774414,False,0,0,0,single,0.0,0.0,IDLE
9,0.36,0.9177201390266418,68.91870000026756,186.059814453125,121.57720184326172,0.16334448754787445,False,18.478557586669922,False,0,0,0,single,0.0,0.0,IDLE
10,0.4,0.9242463111877441,80.75830000007045,185.39202880859375,121.6424789428711,0.18475964665412903,False,18.621206283569336,False,0,0,0,single,0.0,0.0,IDLE
11,0.44,0.918886125087738,82.31419999992795,185.4132080078125,122.05111694335938,0.5946996212005615,False,18.755884170532227,False,0,0,0,single,0.0,0.0,IDLE
12,0.48,0.9024682641029358,118.04279999978462,185.66592407226562,120.22796630859375,2.129636764526367,False,18.52404022216797,False,0,0,0,single,0.0,0.0,IDLE
13,0.52,0.9272136688232422,163.07700000015757,185.1260528564453,115.39065551757812,5.309268951416016,False,18.28162384033203,False,0,0,0,single,0.0,0.0,IDLE
14,0.56,0.9056866765022278,171.1753999998109,184.40914916992188,112.75736236572266,2.905306100845337,False,17.99576187133789,False,0,0,0,single,0.0,0.0,IDLE
15,0.6,0.9026126265525818,191.1083999998482,184.759033203125,111.95549774169922,1.026132345199585,False,17.85713005065918,False,0,0,0,single,0.0,0.0,IDLE
16,0.64,0.8924400210380554,116.33619999975053,185.3011474609375,111.39828491210938,0.5580345988273621,False,17.852127075195312,False,0,0,0,single,0.0,0.0,IDLE
17,0.68,0.9041721224784851,79.87999999977546,186.50250244140625,110.89874267578125,0.5432212352752686,False,18.084440231323242,False,0,0,0,single,0.0,0.0,IDLE
18,0.72,0.907650351524353,84.85410000002958,187.43292236328125,111.04510498046875,0.32934534549713135,False,18.305316925048828,False,0,0,0,single,0.0,0.0,IDLE
19,0.76,0.9094465970993042,71.36949999994613,187.33091735839844,112.93170166015625,2.1272785663604736,False,18.253055572509766,False,0,0,0,single,0.0,0.0,IDLE
20,0.8,0.898849606513977,69.30770000008124,188.01499938964844,112.3134994506836,0.6892794370651245,False,18.066577911376953,False,0,0,0,single,0.0,0.0,IDLE
21,0.84,0.8991425037384033,56.48350000001301,187.75051879882812,112.75222778320312,0.5225708484649658,False,17.904983520507812,False,0,0,0,single,0.0,0.0,IDLE
22,0.88,0.8529363870620728,58.19599999995262,187.31781005859375,112.18710327148438,0.7642869353294373,False,17.886539459228516,False,0,0,0,single,0.0,0.0,IDLE
23,0.92,0.8381558656692505,74.62990000021819,186.8550262451172,114.04425048828125,2.9333982467651367,False,17.996963500976562,False,0,0,0,single,0.0,0.0,IDLE
24,0.96,0.8142933249473572,80.41940000020986,186.31405639648438,111.56592559814453,2.6094250679016113,False,17.539695739746094,False,0,0,0,single,0.0,0.0,IDLE
25,1.0,0.8389408588409424,76.12019999987751,185.5364532470703,108.89959716796875,2.7712514400482178,False,17.549781799316406,False,0,0,0,single,0.0,0.0,IDLE
26,1.04,0.823350191116333,65.63099999993938,184.9111328125,108.56075286865234,0.9423744678497314,False,17.749502182006836,False,0,0,0,single,0.0,0.0,IDLE
27,1.08,0.8550251126289368,68.80150000006324,184.62640380859375,108.19222259521484,0.6409560441970825,False,17.889192581176758,False,0,0,0,single,0.0,0.0,IDLE
28,1.12,0.9100401401519775,72.11439999991853,183.86183166503906,110.02706146240234,2.511683225631714,False,17.919584274291992,False,0,0,0,single,0.0,0.0,IDLE
29,1.16,0.9029480218887329,50.427899999704096,183.77301025390625,110.6600341796875,0.9791614413261414,False,18.052663803100586,False,0,0,0,single,0.0,0.0,IDLE
30,1.2,0.874843180179596,49.56099999981234,181.89999389648438,111.1002197265625,0.5112730264663696,False,18.36249351501465,False,0,0,0,single,0.0,0.0,IDLE
31,1.24,0.9205327033996582,69.99649999988833,183.67742919921875,114.2235107421875,3.2144410610198975,False,18.202329635620117,False,0,0,0,single,0.0,0.0,IDLE
32,1.28,0.9117000699043274,54.18629999985569,187.69775390625,117.5766372680664,3.353438138961792,False,18.504619598388672,False,0,0,0,single,0.0,0.0,IDLE
33,1.32,0.9128938913345337,87.9280999997718,191.95333862304688,120.29898834228516,2.722352981567383,False,18.4183292388916,False,0,0,0,single,0.0,0.0,IDLE
34,1.36,0.9115578532218933,79.00550000022122,196.33163452148438,123.42249298095703,3.190277576446533,False,18.047454833984375,False,0,0,0,single,0.0,0.0,IDLE
35,1.4,0.9038007855415344,74.4260999999824,197.790283203125,124.16681671142578,0.7652462720870972,False,17.187747955322266,False,0,0,0,single,0.0,0.0,IDLE
36,1.44,0.8249440789222717,72.78450000012526,192.97662353515625,121.25878143310547,2.957386016845703,False,16.967355728149414,False,0,0,0,single,0.0,0.0,IDLE
37,1.48,0.8637745976448059,71.45130000026256,187.7583465576172,112.96790313720703,8.640861511230469,False,17.315303802490234,False,0,0,0,single,0.0,0.0,IDLE
38,1.52,0.8734978437423706,84.78000000013708,184.00726318359375,109.46240234375,3.5540482997894287,False,17.95852279663086,True,0,0,0,single,0.0,0.0,IDLE
39,1.56,0.908088743686676,71.35190000008151,175.75445556640625,100.5787582397461,8.95374584197998,False,17.945655822753906,True,0,0,0,single,0.0,0.0,IDLE
40,1.6,0.8956968784332275,59.51390000018364,169.696044921875,95.63720703125,4.951168537139893,False,16.58545684814453,True,0,0,0,single,0.0,0.0,IDLE
