frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,shoulder_amp_th,shoulder_noise_sigma,shoulder_amp_ewma,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0.0,1,0.8255341053009033,38.57795801013708,0,0.0,IDLE,True,,,,,,,,,,,,853.0018310546875,,600.7147216796875,False,1139,258,1449,1334
0,0.0,2,0.8068614602088928,38.57795801013708,0,0.0,IDLE,True,,,,,,,,,,,,892.9298095703125,,657.3220825195312,False,1885,462,2188,1319
0,0.0,3,0.709800124168396,38.57795801013708,0,0.0,IDLE,True,,,,,,,,,,,,872.65869140625,,625.0858154296875,False,384,322,703,1299
1,0.04,2,0.8459344506263733,33.443173160776496,0,0.0,IDLE,True,,,,,,,,,,,,893.0701904296875,,657.7222900390625,False,1885,460,2188,1326
1,0.04,3,0.7195187211036682,33.443173160776496,0,0.0,IDLE,True,,,,,,,,,,,,872.8777465820312,,626.046142578125,False,386,329,700,1305
1,0.04,1,0.8295968770980835,33.443173160776496,0,0.0,IDLE,True,,,,,,,,,,,,853.3485107421875,,602.0498046875,False,1132,266,1449,1343
2,0.08,3,0.7329360842704773,31.637029955163598,0,0.0,IDLE,True,,,,,,,,,,,,872.0069580078125,,624.2235107421875,False,384,328,703,1304
2,0.08,1,0.8239331245422363,31.637029955163598,0,0.0,IDLE,True,,,,,,,,,,,,850.7027587890625,,599.0392456054688,False,1130,260,1450,1338
2,0.08,2,0.818372368812561,31.637029955163598,0,0.0,IDLE,True,,,,,,,,,,,,893.4822998046875,,657.3839721679688,False,1883,460,2187,1317
3,0.12,3,0.7221835851669312,28.63511606119573,0,0.0,IDLE,True,,,,,,,,,,,,872.1547241210938,,625.083740234375,False,381,329,703,1305
3,0.12,1,0.805179238319397,28.63511606119573,0,0.0,IDLE,True,,,,,,,,,,,,852.1591796875,,599.875,False,1132,260,1450,1344
