frame_idx,timestamp,hip_height,ankle_distance,jump_count,jump_type,state,is_fast,spm,freq_hz,is_airborne,is_jumping,is_jump_rope
61,2.033333333333333,158.90321065320447,3.9438598283673514,4,double,IDLE,False,0.0,0.0,False,False,False
62,2.066666666666667,158.93311082711247,3.9346972850218975,4,double,IDLE,False,0.0,0.0,False,False,False
63,2.1,158.95374714450247,3.9350642633504975,4,double,IDLE,False,0.0,0.0,False,False,False
64,2.1333333333333333,158.9400900782229,3.9208689472154674,4,double,IDLE,False,0.0,0.0,False,False,False
65,2.1666666666666665,158.9313303604079,3.880247721586912,4,double,IDLE,False,0.0,0.0,False,False,False
66,2.2,158.92195420395672,3.8302750705565956,4,double,IDLE,False,0.0,0.0,False,False,False
67,2.2333333333333334,158.94326246711103,3.8321785565058804,4,double,IDLE,False,0.0,0.0,False,False,False
68,2.2666666666666666,158.96308807527728,3.832314279461329,4,double,IDLE,False,0.0,0.0,False,False,False
69,2.3,159.02114078461395,3.8729350127173348,4,double,IDLE,False,0.0,0.0,False,False,False
70,2.3333333333333335,159.07836634520964,3.8924398390633,4,double,IDLE,False,0.0,0.0,False,False,False
71,2.3666666666666667,159.1257823543959,3.891720974510534,4,double,IDLE,False,0.0,0.0,False,False,False
72,2.4,159.17188126008753,3.894255650688322,4,double,IDLE,False,0.0,0.0,False,False,False
73,2.433333333333333,159.1888118506332,3.899910056719861,4,double,IDLE,False,0.0,0.0,False,False,False
74,2.466666666666667,159.19741951578595,3.9085577178059765,4,double,IDLE,False,0.0,0.0,False,False,False
75,2.5,159.18562065660393,3.8766208000907767,4,double,IDLE,False,0.0,0.0,False,False,False
76,2.533333333333333,159.17566398462472,3.89453728351603,4,double,IDLE,False,0.0,0.0,False,False,False
77,2.566666666666667,159.15387181798286,3.907453103422995,4,double,IDLE,False,0.0,0.0,False,False,False
78,2.6,159.15651653428563,3.9364538670618003,4,double,IDLE,False,0.0,0.0,False,False,False
79,2.6333333333333333,159.16351478185314,3.9529326049354836,4,double,IDLE,False,0.0,0.0,False,False,False
80,2.6666666666666665,159.19943948014077,3.9806399580388927,4,double,IDLE,False,0.0,0.0,False,False,False
81,2.7,159.2596264242162,4.0234713924701,4,double,IDLE,False,0.0,0.0,False,False,False
82,2.7333333333333334,159.31905521084008,4.095069307694956,4,double,IDLE,False,0.0,0.0,False,False,False
83,2.7666666666666666,159.38406437427687,4.1368924275205075,4,double,IDLE,False,0.0,0.0,False,False,False
84,2.8,159.4198100765875,4.183262853915721,4,double,IDLE,False,0.0,0.0,False,False,False
85,2.8333333333333335,159.46293161387769,4.213478008858871,4,double,IDLE,False,0.0,0.0,False,False,False
86,2.8666666666666667,159.50640391949628,4.236222717926438,4,double,IDLE,False,0.0,0.0,False,False,False
87,2.9,159.50405395706485,4.199572762529272,4,double,IDLE,False,0.0,0.0,False,False,False
88,2.933333333333333,159.49778900978833,4.147882185306699,4,double,IDLE,False,0.0,0.0,False,False,False
89,2.966666666666667,159.4785855564678,4.102584870461897,4,double,IDLE,False,0.0,0.0,False,False,False
90,3.0,159.47662301718765,4.112616882557134,4,double,IDLE,False,0.0,0.0,False,False,False
91,3.033333333333333,159.48109952799308,4.121149194865367,4,double,IDLE,False,0.0,0.0,False,False,False
92,3.066666666666667,159.49686628823062,4.1332918778007155,4,double,IDLE,False,0.0,0.0,False,False,False
93,3.1,159.5385790913404,4.150180093427835,4,double,IDLE,False,0.0,0.0,False,False,False
94,3.1333333333333333,159.58683449552274,4.202621437753038,4,double,IDLE,False,0.0,0.0,False,False,False
95,3.1666666666666665,159.64571455727236,4.22700157979159,4,double,IDLE,False,0.0,0.0,False,False,False
96,3.2,159.67972305891556,4.262999480643828,4,double,IDLE,False,0.0,0.0,False,False,False
97,3.2333333333333334,159.71543053859122,4.2910547739114975,4,double,IDLE,False,0.0,0.0,False,False,False
98,3.2666666666666666,159.73734331596944,4.3256643479493135,4,double,IDLE,False,0.0,0.0,False,False,False
99,3.3,159.75646179712064,4.334882660427539,4,double,IDLE,False,0.0,0.0,False,False,False
100,3.3333333333333335,159.75249880447882,4.307830794711776,4,double,IDLE,False,0.0,0.0,False,False,False
101,3.3666666666666667,159.76186837690068,4.3400937805760975,4,double,IDLE,False,0.0,0.0,False,False,False
102,3.4,159.77790166049382,4.343193338278667,4,double,IDLE,False,0.0,0.0,False,False,False
103,3.433333333333333,159.80153467599683,4.353013658547852,4,double,IDLE,False,0.0,0.0,False,False,False
104,3.466666666666667,159.8437410636235,4.370480042894272,4,double,IDLE,False,0.0,0.0,False,False,False
105,3.5,159.91396783905145,4.374310305853072,4,double,IDLE,False,0.0,0.0,False,False,False
106,3.533333333333333,159.96639707068272,4.39563894019652,4,double,IDLE,False,0.0,0.0,False,False,False
107,3.566666666666667,160.015126488056,4.429623749861392,4,double,IDLE,False,0.0,0.0,False,False,False
108,3.6,160.06187579408066,4.4371112894743305,4,double,IDLE,False,0.0,0.0,False,False,False
109,3.6333333333333333,160.10616529152173,4.441257600487717,4,double,IDLE,False,0.0,0.0,False,False,False
110,3.6666666666666665,160.15441163924436,4.448503241684634,4,double,IDLE,False,0.0,0.0,False,False,False
111,3.7,160.16455979144988,4.413670295713274,4,double,IDLE,False,0.0,0.0,False,False,False
112,3.7333333333333334,160.16569239925968,4.411678786638362,4,double,IDLE,False,0.0,0.0,False,False,False
113,3.7666666666666666,160.1652597106562,4.411782859155679,4,double,IDLE,False,0.0,0.0,False,False,False
114,3.8,160.18117229745167,4.411885038921994,4,double,IDLE,False,0.0,0.0,False,False,False
115,3.8333333333333335,160.20490588735547,4.412997759008107,4,double,IDLE,False,0.0,0.0,False,False,False
116,3.8666666666666667,160.22622329524006,4.412084244854711,4,double,IDLE,False,0.0,0.0,False,False,False
117,3.9,160.2735416994414,4.409196516203053,4,double,IDLE,False,0.0,0.0,False,False,False
118,3.933333333333333,160.3101931992499,4.415236116484039,4,double,IDLE,False,0.0,0.0,False,False,False
119,3.966666666666667,160.36236905219096,4.415305048246495,4,double,IDLE,False,0.0,0.0,False,False,False
120,4.0,160.4219207492737,4.418282926102449,4,double,IDLE,False,0.0,0.0,False,False,False
121,4.033333333333333,160.46509565487315,4.426021804578156,4,double,IDLE,False,0.0,0.0,False,False,False
122,4.066666666666666,160.50136078964871,4.415505000848626,4,double,IDLE,False,0.0,0.0,False,False,False
123,4.1,160.53845580813635,4.413676739365883,4,double,IDLE,False,0.0,0.0,False,False,False
124,4.133333333333334,160.55336110271708,4.4203267526649626,4,double,IDLE,False,0.0,0.0,False,False,False
125,4.166666666666667,160.56616549305897,4.426870366117527,4,double,IDLE,False,0.0,0.0,False,False,False
126,4.2,160.58708131933065,4.4231477336841465,4,double,IDLE,False,0.0,0.0,False,False,False
127,4.233333333333333,160.60400146149667,4.416733968549991,4,double,IDLE,False,0.0,0.0,False,False,False
128,4.266666666666667,160.63611730890938,4.435884152059614,4,double,IDLE,False,0.0,0.0,False,False,False
129,4.3,160.67856373743345,4.44751851363597,4,double,IDLE,False,0.0,0.0,False,False,False
130,4.333333333333333,160.7328931388642,4.457183037907413,4,double,IDLE,False,0.0,0.0,False,False,False
131,4.366666666666666,160.79305754457965,4.483583283157486,4,double,IDLE,False,0.0,0.0,False,False,False
132,4.4,160.84790105808437,4.499001185689053,4,double,IDLE,False,0.0,0.0,False,False,False
133,4.433333333333334,160.8883537502702,4.501058758852054,4,double,IDLE,False,0.0,0.0,False,False,False
134,4.466666666666667,160.92299050361947,4.495267282787751,4,double,IDLE,False,0.0,0.0,False,False,False
135,4.5,160.9377131416909,4.462831401131169,4,double,IDLE,False,0.0,0.0,False,False,False
136,4.533333333333333,160.94965148304232,4.42659288822172,4,double,IDLE,False,0.0,0.0,False,False,False
137,4.566666666666666,160.95759194708785,4.424870466873628,4,double,IDLE,False,0.0,0.0,False,False,False
138,4.6,160.97427436831063,4.435825821883213,4,double,IDLE,False,0.0,0.0,False,False,False
139,4.633333333333334,160.99490396276838,4.429037077993726,4,double,IDLE,False,0.0,0.0,False,False,False
140,4.666666666666667,161.03145257107997,4.422345315861719,4,double,IDLE,False,0.0,0.0,False,False,False
141,4.7,161.0782151760916,4.4240042092681335,4,double,IDLE,False,0.0,0.0,False,False,False
142,4.733333333333333,161.12390931792197,4.436296626712476,4,double,IDLE,False,0.0,0.0,False,False,False
143,4.766666666666667,161.1762906068646,4.4362067136904955,4,double,IDLE,False,0.0,0.0,False,False,False
144,4.8,161.2174355033165,4.436118049456766,4,double,IDLE,False,0.0,0.0,False,False,False
145,4.833333333333333,161.2568087076734,4.431213791077468,4,double,IDLE,False,0.0,0.0,False,False,False
146,4.866666666666666,161.28607495631974,4.430363217783309,4,double,IDLE,False,0.0,0.0,False,False,False
147,4.9,161.2963338971765,4.374884729217882,4,double,IDLE,False,0.0,0.0,False,False,False
148,4.933333333333334,161.30606093057577,4.330380801669875,4,double,IDLE,False,0.0,0.0,False,False,False
149,4.966666666666667,161.31370428078594,4.3325678369533165,4,double,IDLE,False,0.0,0.0,False,False,False
150,5.0,161.32512591715448,4.330845514647805,4,double,IDLE,False,0.0,0.0,False,False,False
151,5.033333333333333,161.34603252551517,4.3330005050984255,4,double,IDLE,False,0.0,0.0,False,False,False
152,5.066666666666666,161.3804489693744,4.332829645180951,4,double,IDLE,False,0.0,0.0,False,False,False
153,5.1,161.41821964146195,4.338747612882102,4,double,IDLE,False,0.0,0.0,False,False,False
154,5.133333333333334,161.44264979194057,4.350635795008259,4,double,IDLE,False,0.0,0.0,False,False,False
155,5.166666666666667,161.4645116877631,4.360117553878737,4,double,IDLE,False,0.0,0.0,False,False,False
156,5.2,161.48870499468745,4.353807703619367,4,double,IDLE,False,0.0,0.0,False,False,False
157,5.233333333333333,161.5096243706991,4.363148472899496,4,double,IDLE,False,0.0,0.0,False,False,False
158,5.266666666666667,161.51922770074844,4.371634287476908,4,double,IDLE,False,0.0,0.0,False,False,False
